"param","n","r","bias","mean_abs_bias","rmse","coverage_90","max_rhat","min_ess_bulk"
"alpha",7584,0.923098282273754,0.0078169772010602,0.331242408435312,0.425401242677669,0.894119198312236,1.00234684235648,1356.54907526579
"beta",7584,0.905723782639716,0.00250129579713742,0.094706183445439,0.120250214463926,0.89873417721519,1.00460089340686,509.541532810197
"lambda",7584,0.797337211011597,0.00140095594422568,0.023111955080076,0.0314828156344254,0.881065400843882,1.00220390984924,3043.21951994015
"delta",7584,0.765642222920907,-0.00394053687290178,0.153842900703279,0.202730451636447,0.895569620253165,1.07337057058586,35.9257192980003
"eta",7584,0.900271571399608,-0.00269477972475111,0.108372958665755,0.141847422240472,0.898206751054852,1.07130002562288,39.8950294664165
