"k","variable","subject","param","simulated","estimated","median","q5","q95","bias","abs_bias","covered_90","rhat","ess_bulk","ess_tail"
1,"params[1,1]",1,"alpha",1.60200178563916,1.5674281257525,1.55991255,1.155617365,2.008449985,-0.0345736598866639,0.0345736598866639,TRUE,1.00001776305453,14558.0722119971,10183.9488784162
1,"params[2,1]",2,"alpha",1.44087010452817,1.895523218375,1.8866422,1.41574894,2.409206855,0.454653113846831,0.454653113846831,TRUE,1.00075125906829,19998.284920649,8808.86387832519
1,"params[3,1]",3,"alpha",3.05491329590693,2.79218227993333,2.76191155,2.07644093,3.59872505,-0.262731015973598,0.262731015973598,TRUE,0.999996916158729,15181.5316451736,10264.5794091098
1,"params[4,1]",4,"alpha",3.27285215839106,3.31953579268333,3.2935205,2.515265705,4.20780861,0.0466836342922781,0.0466836342922781,TRUE,1.00011866900128,15012.451215381,9154.50980033453
1,"params[5,1]",5,"alpha",1.51925301756833,1.242038687685,1.23074625,0.8006414955,1.727796245,-0.277214329883329,0.277214329883329,TRUE,1.00041590671698,18493.3334923935,9861.22677963934
1,"params[6,1]",6,"alpha",1.43054363540031,1.73432359095583,1.72501465,1.32327221,2.172571685,0.303779955555519,0.303779955555519,TRUE,1.00029223713662,16640.5875276859,9715.48391399888
1,"params[7,1]",7,"alpha",3.0049901721524,2.6169497019,2.5964635,1.921183475,3.368363515,-0.388040470252399,0.388040470252399,TRUE,1.00005083649286,20089.668866371,9319.25274361304
1,"params[8,1]",8,"alpha",1.59986591379087,1.56610227335,1.5510009,1.07811319,2.09925473,-0.0337636404408743,0.0337636404408743,TRUE,0.999908665246442,17602.4544585715,9920.18329571949
1,"params[9,1]",9,"alpha",3.12079218953028,3.24689476173333,3.22965375,2.54069619,4.02083798,0.126102572203052,0.126102572203052,TRUE,1.00012008558151,15263.5563710237,10223.6015863471
1,"params[10,1]",10,"alpha",2.01531450951032,2.35549660468333,2.3264024,1.715597825,3.08873844,0.340182095173013,0.340182095173013,TRUE,1.00045188250293,18731.0484535777,9932.88745527262
