"k","n_divergent","n_max_td","max_rhat","min_ess"
1,0,0,1.00210949981117,2384.43239256808
2,0,0,1.00181434618425,2430.39723911693
3,0,0,1.00437359754181,1305.08865815813
4,0,0,1.00209137325641,2657.97444289286
5,0,0,1.00332505386368,1807.51964911252
6,0,0,1.00177521976589,2471.94572247157
7,0,0,1.00328852216448,2537.46086618229
8,0,0,1.00303223811957,2583.73152754697
9,0,0,1.00207715036876,2506.58476413681
10,0,0,1.00279147260248,2543.74350696827
11,0,0,1.00205194054495,2491.82095618511
12,0,0,1.00155476005087,2710.68754097137
13,0,0,1.00199925245245,2671.1846788962
14,0,0,1.00193442833108,2911.68221156609
15,0,0,1.00309591243131,1067.02121525628
16,0,0,1.00205054108356,3011.73172998574
17,0,0,1.00178834464213,3021.85101730283
18,0,0,1.0018644635488,2645.80347161012
19,0,0,1.00172867065697,2780.32748074087
20,0,0,1.00181421025216,2891.68122580603
21,0,0,1.00164926655297,2755.02285062572
22,0,0,1.00247984756883,2273.01923148557
23,0,0,1.00250945847861,2919.08111330069
24,0,0,1.00179392027623,2739.63171311768
25,0,0,1.00215252830957,2723.53622013818
26,0,0,1.00257769791146,2534.03799362074
27,0,0,1.00239730275705,2605.80689195063
28,0,0,1.00348866672964,1541.88986041687
29,0,0,1.0026571508673,2594.69373355685
30,0,0,1.00399247290972,2001.39968076886
31,0,0,1.00351227372343,1226.09307624336
32,0,0,1.00231551936005,2808.62802713778
33,0,0,1.00158577455413,2948.69958255985
34,0,0,1.00187760017962,2716.58015316224
35,0,0,1.52816762939396,7.08940789375983
36,0,0,1.00179512969213,2735.31534729369
37,0,0,1.0343511166301,104.324616272537
38,0,0,1.00760669169774,1182.33492465396
39,0,0,1.00365365531717,1342.52003768291
40,0,0,1.00331766759777,1728.11695421839
41,0,0,1.00252921507183,2740.59897543517
42,0,0,1.00185532272575,2790.15204977944
43,0,0,1.00196063102145,2096.02249429836
44,0,0,1.73337381996978,6.0465602988664
45,0,0,1.00184728908841,2825.75113860043
46,0,0,1.0060140785308,641.100016866409
47,0,0,1.00199923388505,2952.8656429311
48,0,0,1.0018281178051,2616.93340983632
49,0,0,1.0017334638734,2443.93031139
50,0,0,1.00155618960655,1866.98001348012
51,0,0,1.00254205996566,2364.91410963174
52,0,0,1.00237407939696,2516.49903343996
53,0,0,1.00198815909951,2402.18446629
54,0,0,1.00426931209994,2694.6145066899
55,0,0,1.00671015194339,985.028323210136
56,0,0,1.00193003356671,2682.16099822269
57,0,0,1.00307964627859,1945.27025651372
58,0,0,1.0021033722173,2279.13842016037
59,0,0,1.00265546258584,2580.7538525776
60,0,0,1.00268766450999,2821.55342881235
61,0,0,1.00335729300077,1031.50694153667
62,0,0,1.07337057058586,35.9257192980003
63,0,0,1.00149344080783,2547.05236766188
64,0,0,1.00181213945572,2510.18520293409
65,0,0,1.0051103413362,1698.67031312345
66,0,0,1.00247108089023,2678.19715095991
67,0,0,1.00220558852445,2555.84200057206
68,0,0,1.00169903940406,2676.35469474155
69,0,0,1.00311839439685,1978.15864153912
70,0,0,1.00242756648704,2759.47440238231
71,0,0,1.00595198680443,844.546333140145
72,0,0,1.00416112192231,2167.89791872659
73,0,0,1.01155136482099,313.214994284041
74,0,0,1.00251981593049,1814.46416210772
75,0,0,1.00277106953444,1967.54796621859
76,0,0,1.0053278650457,2402.33430853409
77,0,0,1.00238666632907,2953.26678851629
78,0,0,1.00506974783284,2218.70276619882
79,0,0,1.00142911937636,2936.46390164918
80,0,0,1.00299927726392,2111.08784769214
81,0,0,1.00255325888466,2564.42338262945
82,0,0,1.00243330931956,2336.66179350333
83,0,0,1.00291091062202,1744.24619745416
84,0,0,1.0016233404465,2311.31431394403
85,0,0,1.00202876520121,2973.4740047537
86,0,0,1.00182144102533,2478.39145029493
87,1,0,1.00416851837049,1503.08325248827
88,0,0,1.00192335784796,2619.84215025952
89,0,0,1.00234776324762,2267.45140728821
90,0,0,1.00267301028038,2534.6697566548
91,0,0,1.00164825100742,2526.42739076599
92,0,0,1.00183017571314,2777.49719145394
93,0,0,1.00180517043031,3066.33824242159
94,0,0,1.00244338296099,2971.91369447218
95,0,0,1.00235957239593,2360.58874554551
96,0,0,1.00276950242026,2328.00666176477
97,0,0,1.00165459589162,2899.42777380264
98,0,0,1.00193274816352,2734.92316929461
99,0,0,1.00228135986125,2759.90466009351
100,0,0,1.00222655769685,2426.49036644344
101,0,0,1.00179563636535,2764.69990476855
102,0,0,1.00353238181553,2026.39787595101
103,0,0,1.00208041748286,2698.12673233058
104,0,0,1.00149623526566,2523.36817129974
105,0,0,1.0055778839238,1480.2944660943
106,0,0,1.00199746661056,2506.17954877328
107,0,0,1.05601569615235,75.9874473330272
108,0,0,1.00191538092441,2332.78306425793
109,0,0,1.01251695268942,332.751986594635
110,0,0,1.00155106680903,2914.98935329499
111,0,0,1.00180058063098,2874.5788513024
112,0,0,1.00237987930636,3188.38094314117
113,0,0,1.00216405601614,2761.87677248384
114,0,0,1.00481318158114,906.170200870804
115,0,0,1.0055452288065,616.62913242593
116,0,0,1.00231456336329,2916.86542699523
117,0,0,1.00163002616223,2463.71916601379
118,0,0,1.00154238535961,2559.83064671232
119,0,0,1.00242387258088,2618.78287412114
120,0,0,1.00155802323237,2859.69200828174
121,0,0,1.00469773306788,1136.76627011475
122,0,0,1.00147977598825,2787.60815336207
123,0,0,1.00228165926474,2459.16631054512
124,0,0,1.00194066169447,2677.58201211477
125,0,0,1.0055926734371,719.341808488939
126,0,0,1.52960806093493,7.0939613255548
127,0,0,1.00222356997119,2649.41185875094
128,0,0,1.00227812201113,2563.65575274394
129,0,0,1.00267503959382,2481.67315718951
130,0,0,1.00197476441742,2363.58069476423
131,0,0,1.00469030759832,1363.06896062381
132,0,0,1.00759425477748,610.290328498884
133,0,0,1.03132243207584,87.3137573534295
134,0,0,1.00499131688485,1582.36795864032
135,0,0,1.00220390984924,2946.54312641901
136,0,0,1.00147209978891,2614.73283647632
137,0,0,1.0040599728535,1159.72726564459
138,0,0,1.00795182536271,481.303694525164
139,0,0,1.00311521809439,2212.81405649284
140,0,0,1.00213384385799,2214.78501153784
141,0,0,1.0024584019226,1603.7926293843
142,0,0,1.00235021804235,2001.42994172448
143,0,0,1.00179963526572,2068.06886642085
144,0,0,1.00199312924369,2691.42745381553
145,0,0,1.00265809811143,897.523664119922
146,0,0,1.00375319949385,1567.73651675452
147,0,0,1.00369259227783,782.340688732569
148,0,0,1.52820461194836,7.08857220929692
149,0,0,1.00168442515607,2575.39256842427
150,0,0,1.00389212238683,1303.54980015401
151,0,0,1.00148713498222,3206.66316021275
152,0,0,1.00322558896701,2434.08214971579
153,0,0,1.07362252939391,39.8951359247889
154,0,0,1.00183052486534,1934.4097715535
155,0,0,1.00171596771031,1559.85191559631
156,0,0,1.00164804119288,2720.36167857313
157,0,0,1.00229547565475,2242.04293621669
158,0,0,1.00197045190867,2867.60386966052
159,0,0,1.02749379245684,192.823820749425
160,0,0,1.00306602194008,2009.21053932648
161,0,0,1.00328513132588,1737.40959798121
162,0,0,1.00173279937709,2843.72215519551
163,0,0,1.00208851254445,2647.1252111689
164,0,0,1.00238806852172,2499.02231842024
165,0,0,1.00259928960302,2119.39410111071
166,0,0,1.00212829269966,2844.27491417602
167,0,0,1.00252239965203,2516.93507399152
168,0,0,1.00178431316171,2270.19018226345
169,0,0,1.00151675879636,2691.09365516076
170,0,0,1.0021449850523,2790.54648239753
171,0,0,1.00286594833618,2133.75760966237
172,0,0,1.00388738304004,891.180203928674
173,0,0,1.00171206192968,2326.05384503859
174,0,0,1.00282277204904,2527.67566160943
175,0,0,1.00169083960996,2961.775877866
176,0,0,1.00882015165037,383.599659902013
177,0,0,1.002288984832,2613.31069180298
178,0,0,1.00271140313246,2495.33447300844
179,0,0,1.00287778724834,998.019449898419
180,0,0,1.00748109925239,492.107267321637
181,0,0,1.00165888597923,2420.65920987535
182,0,0,1.00212608485842,2552.8088140961
183,0,0,1.00161321759349,2760.20280294429
184,0,0,1.00261057255237,2776.35233164831
185,0,0,1.00213188877469,2813.46643406121
186,0,0,1.0039841937589,2006.40357952318
187,0,0,1.00188813673844,2710.59209291723
188,0,0,1.52896556451514,7.09321166441647
189,0,0,1.0024963046269,2269.80812513235
190,0,0,1.00394334975951,1792.79617840445
191,0,0,1.00171815469207,2858.38930196853
192,0,0,1.02209231183078,292.447316930751
193,0,0,1.00215835665819,2734.1331841785
194,0,0,1.0041206081725,2685.96176370265
195,0,0,1.00188895756477,2764.66760917732
196,0,0,1.00636833375371,1172.20736377815
197,0,0,1.0023340665156,2745.94642931053
198,0,0,1.00184467213384,2543.83037716162
199,0,0,1.00226096048212,2865.54607033605
200,0,0,1.0029535387226,2959.91140125058
201,0,0,1.00289360168476,1933.56506610293
202,0,0,1.00189836191848,2815.45455982121
203,0,0,1.00203655440954,2547.01927544563
204,0,0,1.02817424619085,83.7565999442798
205,0,0,1.00276100259081,1508.83773472673
206,0,0,1.00267950138401,2797.90845469129
207,0,0,1.00199531587959,2996.37947062609
208,0,0,1.00158778434939,2710.0564046249
209,0,0,1.00244180416952,2554.00355977323
210,0,0,1.00241453537955,2684.94367248163
211,0,0,1.00173686967347,2512.21777345978
212,0,0,1.0027248138018,804.892011258556
213,0,0,1.001789086158,2371.0008767647
214,0,0,1.00246109259635,2297.92154107606
215,0,0,1.00246356126717,2792.42998169624
216,0,0,1.02069764672443,378.248357085747
217,0,0,1.00181027720175,2827.06652922165
218,0,0,1.00198925106078,2675.87657995057
219,0,0,1.00341411963834,2150.90704758879
220,0,0,1.00167280586021,2609.8592730501
221,0,0,1.00183596085431,3000.9003911999
222,0,0,1.00201887083153,2584.49008937779
223,0,0,1.00201223457157,2245.15767937828
224,0,0,1.00307446675718,1042.47777891757
225,0,0,1.73313915951868,6.06054064232912
226,0,0,1.00488336162905,1356.98919761984
227,0,0,1.00580205403286,578.715037332377
228,0,0,1.0109325976817,331.145447154334
229,0,0,1.00272850668618,2683.28136020182
230,0,0,1.00400694572564,2692.30155702951
231,0,0,1.01356119540184,303.863533804375
232,0,0,1.00330463711313,1573.94243105044
233,0,0,1.00221270882358,2272.94198595473
234,0,0,1.00595867010405,391.655750221397
235,0,0,1.00181031156393,2715.09966807895
236,0,0,1.00170563713724,2591.04696687578
237,0,0,1.00263101384893,2351.45157995733
238,0,0,1.0021941777164,1892.94032108738
239,0,0,1.00243107656973,2803.67307440802
240,0,0,1.00188256202151,2810.3692397816
241,0,0,1.00171878115906,2801.5582135906
242,0,0,1.00329946266734,2466.03089105994
243,0,0,1.00288017446872,1698.91227338088
