"param","n","r","bias","mean_abs_bias","rmse","coverage_90","max_rhat","min_ess_bulk"
"alpha",237,0.983036421859452,0.0230251465806154,0.12575225352968,0.16284970080748,0.915611814345992,1.00287558638404,2272.18565308659
"beta",237,0.940584947204374,0.00382006353125373,0.0391089924244456,0.0490799127598936,0.940928270042194,1.00488336162905,1728.11695421839
"lambda",237,0.896425141788745,0.00244578067714708,0.0092009036400549,0.0120302859839235,0.89873417721519,1.00211839546261,3039.44556850614
"delta",237,0.934383547658799,-0.000846060068505298,0.0592452449702556,0.0731657746715195,0.919831223628692,1.01060015556179,510.159388008099
"eta",237,0.965649198615992,-0.00478332482978302,0.0436287394775918,0.0566427463317469,0.873417721518987,1.00550882861526,1601.45765271751
