"param","n","r","bias","mean_abs_bias","rmse","coverage_90","max_rhat","min_ess_bulk"
"alpha",221,0.982333478126766,0.0128920408827903,0.159616603065822,0.203143121001059,0.900452488687783,1.00221642699492,2278.7804583686
"beta",221,0.970773533564119,0.00089610782602431,0.0425593484666898,0.0538829828731569,0.904977375565611,1.00263944783236,2380.00442317364
"lambda",221,0.903601293536055,0.00154648359155473,0.0107205249074847,0.0134406838624637,0.936651583710407,1.00284145923189,2168.25479557644
"delta",221,0.721798413511172,0.00282138837227135,0.0791095658633093,0.102087611710372,0.914027149321267,1.02043195097362,251.640092963451
"eta",221,0.864372045926755,-0.000319980849048653,0.0474542563099563,0.0602499531901191,0.895927601809955,1.00877655006329,650.857103893
