"k","variable","param","simulated","estimated","median","q5","q95","bias","abs_bias","covered_90","rhat","ess_bulk","ess_tail"
1,"mu_alpha","alpha",1.62,1.83528195183333,1.8300382,1.4876368,2.197500045,0.215281951833333,0.215281951833333,TRUE,1.00024877940451,2794.07887485286,4880.0872106674
1,"mu_beta","beta",0.284,0.263205872984167,0.26290934,0.179503966,0.3481747355,-0.0207941270158333,0.0207941270158333,TRUE,1.00062142230334,3930.992585167,5902.12366578239
1,"mu_lambda","lambda",0.0517,0.044291791873075,0.0445013515,0.0200994754,0.0677517894,-0.007408208126925,0.007408208126925,TRUE,1.0003143072185,7606.65392576758,6031.57827060576
1,"mu_delta","delta",0.881,0.997603568739167,0.990299655,0.857311776,1.16249991,0.116603568739167,0.116603568739167,TRUE,1.00155838210524,2578.30747290439,3176.15329843596
1,"mu_eta","eta",-0.427,-0.411880084280583,-0.413189295,-0.567991571,-0.256428069,0.0151199157194167,0.0151199157194167,TRUE,1.00133807140716,2762.40711150389,3928.48976703027
2,"mu_alpha","alpha",2.9,3.02625745500833,3.02259955,2.64242175,3.42996511,0.126257455008334,0.126257455008334,TRUE,1.00087087331135,4186.58685336551,5987.83899252495
2,"mu_beta","beta",0.284,0.35722603739,0.355307775,0.2579868175,0.4614032115,0.07322603739,0.07322603739,TRUE,1.00072434512525,3849.71659897117,6242.42337832345
2,"mu_lambda","lambda",0.0517,0.0409572793816583,0.040531784,0.0190194049,0.06398972365,-0.0107427206183417,0.0107427206183417,TRUE,1.001129632601,6396.0560570948,6194.77039895749
2,"mu_delta","delta",0.881,0.679991724984167,0.679838255,0.446011365,0.9167158915,-0.201008275015833,0.201008275015833,TRUE,1.00135507954145,3745.28337934086,3913.86837968151
2,"mu_eta","eta",-0.427,-0.385936855969167,-0.38568408,-0.482171254,-0.289735068,0.0410631440308333,0.0410631440308333,TRUE,1.00149269037684,3061.71112744444,5088.17052228238
3,"mu_alpha","alpha",4.21,4.672728891275,4.66455865,4.20726362,5.157899565,0.462728891275,0.462728891275,TRUE,1.00071598218211,4521.9183379201,6351.53548770184
3,"mu_beta","beta",0.284,0.275773640748682,0.27525339,0.166207443,0.387172962,-0.00822635925131748,0.00822635925131748,TRUE,1.00084452910233,3455.95605225316,5859.77593376151
3,"mu_lambda","lambda",0.0517,0.0476242857054833,0.0475523905,0.0279161007,0.06774816605,-0.00407571429451667,0.00407571429451667,TRUE,1.00138582136201,5212.92411375303,5918.00722424447
3,"mu_delta","delta",0.881,1.08622728813333,1.0762671,0.934851856,1.27489628,0.205227288133333,0.205227288133333,FALSE,1.00348047172994,1737.48307479186,3436.02709287086
3,"mu_eta","eta",-0.427,-0.574978783566667,-0.57474907,-0.6794908565,-0.4717045835,-0.147978783566667,0.147978783566667,FALSE,1.00027528892357,2932.55828480071,4588.44820267369
4,"mu_alpha","alpha",1.62,1.6062758019525,1.5977914,1.279314835,1.962479955,-0.0137241980475,0.0137241980475,TRUE,0.999972540878194,3869.82138740337,6059.63794574763
4,"mu_beta","beta",0.553,0.59008770148,0.5876681,0.495052151,0.6909638175,0.03708770148,0.03708770148,TRUE,1.00030425986992,5276.73715814792,7554.38687118209
4,"mu_lambda","lambda",0.0517,0.0557726530577167,0.055639109,0.03076243075,0.0816721567,0.00407265305771666,0.00407265305771666,TRUE,1.00034981612771,9029.34285193989,8298.56220469682
4,"mu_delta","delta",0.881,0.8564991302075,0.850415895,0.6987416945,1.035216905,-0.0245008697925,0.0245008697925,TRUE,1.00076455138285,3027.73015581922,3827.88897383303
4,"mu_eta","eta",-0.427,-0.412915362884167,-0.41322411,-0.515009317,-0.3069317865,0.0140846371158333,0.0140846371158333,TRUE,1.0000008583209,3377.15636385894,5144.7958869868
5,"mu_alpha","alpha",2.9,2.99719829975833,2.99322255,2.663599265,3.35055004,0.0971982997583334,0.0971982997583334,TRUE,1.00049126096421,6295.9625546174,7918.41534360497
5,"mu_beta","beta",0.553,0.534259861583333,0.533799245,0.444584922,0.6253476895,-0.0187401384166667,0.0187401384166667,TRUE,1.00038339891955,5913.00913571936,7571.85641216509
5,"mu_lambda","lambda",0.0517,0.0670751473535833,0.0671884635,0.0479758468,0.0852129576,0.0153751473535833,0.0153751473535833,TRUE,1.00004118232124,9132.0997364069,8141.06429876136
5,"mu_delta","delta",0.881,0.782390847745,0.7769931,0.565210666,1.019460255,-0.098609152255,0.098609152255,TRUE,1.00147926797429,3750.3349852583,6192.56320962058
5,"mu_eta","eta",-0.427,-0.3943162641925,-0.39449227,-0.473310851,-0.316770551,0.0326837358075,0.0326837358075,TRUE,1.00075721402901,5373.3201720663,7320.03052394938
6,"mu_alpha","alpha",4.21,3.84303562980833,3.83533155,3.47764398,4.229369355,-0.366964370191667,0.366964370191667,TRUE,1.00074369210217,6696.99678883251,7312.23733273212
6,"mu_beta","beta",0.553,0.5823102044825,0.581027705,0.4649943895,0.7023487735,0.0293102044825,0.0293102044825,TRUE,1.00129670635554,3832.93823432106,5828.40355375561
6,"mu_lambda","lambda",0.0517,0.0571041552064167,0.056970931,0.0382759605,0.07605260425,0.00540415520641666,0.00540415520641666,TRUE,1.00020159405306,7192.47774529424,7621.24948655016
6,"mu_delta","delta",0.881,0.9875933433675,0.984220685,0.827954724,1.158464065,0.1065933433675,0.1065933433675,TRUE,1.00102595123694,3271.98448497306,3401.73896504226
6,"mu_eta","eta",-0.427,-0.377380752272167,-0.377393295,-0.4752740725,-0.2788335015,0.0496192477278333,0.0496192477278333,TRUE,1.00258808737824,2778.83290866166,5023.66204449841
7,"mu_alpha","alpha",1.62,1.57987438386833,1.57519685,1.31560811,1.85480615,-0.0401256161316668,0.0401256161316668,TRUE,1.00066588270093,5302.25808376438,7260.63440289588
7,"mu_beta","beta",0.808,0.775057609248333,0.773470815,0.651283331,0.901793786,-0.0329423907516667,0.0329423907516667,TRUE,1.00169549298332,3431.08148857609,5718.28981434963
7,"mu_lambda","lambda",0.0517,0.05328739844775,0.0534242365,0.0342808785,0.07216293685,0.00158739844774999,0.00158739844774999,TRUE,1.00014861367706,9296.16224147925,7316.74544954991
7,"mu_delta","delta",0.881,0.958326717775,0.94225113,0.787561,1.188360855,0.077326717775,0.077326717775,TRUE,1.00203061084776,1427.91848125457,2954.3864245839
7,"mu_eta","eta",-0.427,-0.386962296716083,-0.38690273,-0.4874714885,-0.2856231225,0.0400377032839166,0.0400377032839166,TRUE,1.00122389538346,3956.57276350697,6480.10922055369
8,"mu_alpha","alpha",2.9,2.93913483686667,2.931433,2.56831154,3.334658765,0.0391348368666669,0.0391348368666669,TRUE,1.00187367514503,3951.43688311041,6267.9858876094
8,"mu_beta","beta",0.808,0.81292895174,0.812161895,0.748196256,0.8795663025,0.00492895173999996,0.00492895173999996,TRUE,1.00051928443912,12563.760297744,8395.66045674894
8,"mu_lambda","lambda",0.0517,0.0287248199402675,0.0284885065,0.01229315905,0.0457805174,-0.0229751800597325,0.0229751800597325,FALSE,1.00078875349357,6699.09235293138,5456.94612483033
8,"mu_delta","delta",0.881,0.835842986783333,0.83112142,0.6304999675,1.061265225,-0.0451570132166667,0.0451570132166667,TRUE,1.00030837413204,2818.48326725066,4156.7835252537
8,"mu_eta","eta",-0.427,-0.462165323921667,-0.461970265,-0.5286471155,-0.3971800085,-0.0351653239216667,0.0351653239216667,TRUE,1.00072037628078,3834.81763127864,6135.63203142441
9,"mu_alpha","alpha",4.21,4.13142856751667,4.12195855,3.762376675,4.534793995,-0.0785714324833329,0.0785714324833329,TRUE,1.00070991821357,5508.55557568331,6261.543400184
9,"mu_beta","beta",0.808,0.74720907475,0.746372245,0.671291991,0.82666897,-0.0607909252500001,0.0607909252500001,TRUE,0.999804680903517,6368.2215924917,6095.02442176362
9,"mu_lambda","lambda",0.0517,0.0427158945178833,0.0426182025,0.02491379905,0.06119164115,-0.00898410548211667,0.00898410548211667,TRUE,1.00016865535079,4495.68457824897,5281.52804204231
9,"mu_delta","delta",0.881,0.736970800835,0.73375349,0.6199865235,0.8621860795,-0.144029199165,0.144029199165,FALSE,1.00160417041527,2625.52209993735,3425.40422991374
9,"mu_eta","eta",-0.427,-0.464985929404167,-0.465119225,-0.54355377,-0.385719959,-0.0379859294041667,0.0379859294041667,TRUE,1.00088914528271,2522.43285627603,4534.65026165207
10,"mu_alpha","alpha",1.62,1.66643403296667,1.66169895,1.403762665,1.946487485,0.0464340329666666,0.0464340329666666,TRUE,1.00111633744035,4305.43041295417,7141.40112271109
10,"mu_beta","beta",0.284,0.1877317241125,0.1865735,0.114870073,0.2635965665,-0.0962682758875,0.0962682758875,FALSE,1.00014826466246,4446.63588040236,6498.56578307037
10,"mu_lambda","lambda",0.0814,0.0749086302076667,0.074910206,0.050301316,0.0988498414,-0.00649136979233333,0.00649136979233333,TRUE,1.00022174592431,11156.6469925789,8218.6744847187
10,"mu_delta","delta",0.881,0.849233058520833,0.849322355,0.722043032,0.9780704745,-0.0317669414791667,0.0317669414791667,TRUE,1.00010312930636,5315.4361291559,6887.34778810751
10,"mu_eta","eta",-0.427,-0.400403169445,-0.40098934,-0.5028780655,-0.295845368,0.026596830555,0.026596830555,TRUE,0.999924519051293,7498.96153818337,7826.64451695877
11,"mu_alpha","alpha",2.9,2.87399681535833,2.8684115,2.50227003,3.262967485,-0.0260031846416666,0.0260031846416666,TRUE,1.00034965109221,4416.74852955467,6598.83445001142
11,"mu_beta","beta",0.284,0.279035546817167,0.278690215,0.1868703915,0.371655044,-0.00496445318283328,0.00496445318283328,TRUE,1.00014666651234,4390.49064820728,6666.16806299399
11,"mu_lambda","lambda",0.0814,0.0750639934011667,0.0745457065,0.04562569325,0.10571645,-0.00633600659883334,0.00633600659883334,TRUE,1.00054578638681,5628.80816741001,7192.31190798204
11,"mu_delta","delta",0.881,0.596157877810433,0.60022575,0.3555092325,0.8246332215,-0.284842122189567,0.284842122189567,FALSE,1.00145841284351,4018.51821778409,4374.73679387145
11,"mu_eta","eta",-0.427,-0.309867208287167,-0.30941862,-0.410410655,-0.2120452965,0.117132791712833,0.117132791712833,FALSE,0.99984451026635,4700.96502763202,5933.14643007474
12,"mu_alpha","alpha",4.21,4.039943935125,4.03293835,3.76307162,4.343460695,-0.170056064875,0.170056064875,TRUE,0.999955942009914,12083.4684749479,7934.65579241765
12,"mu_beta","beta",0.284,0.328853173389167,0.32777486,0.242872261,0.4171043755,0.0448531733891667,0.0448531733891667,TRUE,1.000233217954,7046.32624984079,7357.61973539826
12,"mu_lambda","lambda",0.0814,0.0576051109529167,0.0574150325,0.0375001821,0.07889272245,-0.0237948890470833,0.0237948890470833,FALSE,1.00037328114627,7956.80776896629,8237.64978781774
12,"mu_delta","delta",0.881,0.871546299645,0.87035307,0.7404432115,1.00697736,-0.00945370035500004,0.00945370035500004,TRUE,1.00048594445047,3944.44393222878,6812.12880202307
12,"mu_eta","eta",-0.427,-0.446712061751667,-0.445751535,-0.549273721,-0.3445545295,-0.0197120617516667,0.0197120617516667,TRUE,1.00061776435296,4053.05982996713,6131.75781656845
13,"mu_alpha","alpha",1.62,1.64219994376667,1.63827645,1.395907585,1.89769207,0.0221999437666665,0.0221999437666665,TRUE,1.00036258841202,6153.26537630156,7050.09629386596
13,"mu_beta","beta",0.553,0.55711148433,0.55554642,0.459466725,0.6600327295,0.00411148432999997,0.00411148432999997,TRUE,1.00028086207471,4397.35846385229,7029.3303786573
13,"mu_lambda","lambda",0.0814,0.0769200099914167,0.076897638,0.05004570015,0.104195115,-0.00447999000858333,0.00447999000858333,TRUE,1.00019917688642,7333.11223763997,7805.38459459716
13,"mu_delta","delta",0.881,0.895747522044167,0.891103985,0.7446113125,1.062842135,0.0147475220441666,0.0147475220441666,TRUE,1.00064071735051,4337.68018873279,2970.96527835258
13,"mu_eta","eta",-0.427,-0.3873313929525,-0.387637665,-0.455054535,-0.31802677,0.0396686070475,0.0396686070475,TRUE,1.00022050584147,7715.87339807262,7861.59316814289
14,"mu_alpha","alpha",2.9,2.74405659545833,2.73785545,2.328871275,3.172426185,-0.155943404541667,0.155943404541667,TRUE,1.0003518265715,3458.58490876987,5718.38375859033
14,"mu_beta","beta",0.553,0.601645122735833,0.600914405,0.5367255225,0.6695081335,0.0486451227358333,0.0486451227358333,TRUE,1.00042485279483,8868.1965212987,8199.65948297587
14,"mu_lambda","lambda",0.0814,0.0667952868051667,0.0669030795,0.04657646225,0.086906015,-0.0146047131948333,0.0146047131948333,TRUE,1.00076830345785,6760.71941467843,7163.87314186464
14,"mu_delta","delta",0.881,1.04058720795667,1.03410915,0.8345400005,1.28376088,0.159587207956667,0.159587207956667,TRUE,1.00089635684933,2799.31777022967,2852.03334119992
14,"mu_eta","eta",-0.427,-0.434892403271667,-0.43504646,-0.4998943325,-0.368964324,-0.00789240327166668,0.00789240327166668,TRUE,1.00032912411276,5048.49682007388,8030.45546211764
15,"mu_alpha","alpha",4.21,4.37659238596667,4.3656525,4.032539695,4.75999315,0.166592385966667,0.166592385966667,TRUE,1.00075587351084,8699.55856588003,7580.57238957812
15,"mu_beta","beta",0.553,0.527285056414167,0.526215675,0.4017127485,0.656487103,-0.0257149435858334,0.0257149435858334,TRUE,1.00090196170397,3914.47078710182,6329.20886060455
15,"mu_lambda","lambda",0.0814,0.0895974031541667,0.089471987,0.07020429155,0.109694316,0.00819740315416667,0.00819740315416667,TRUE,1.00032959736501,6343.19773514656,8004.7722659439
15,"mu_delta","delta",0.881,0.924607571484167,0.916389155,0.786781443,1.088311785,0.0436075714841666,0.0436075714841666,TRUE,1.00056711950808,3363.17421832739,4524.14438856614
15,"mu_eta","eta",-0.427,-0.408465252965,-0.40835166,-0.512604031,-0.305972285,0.018534747035,0.018534747035,TRUE,1.00197113027067,3017.25774411872,5026.01675241721
16,"mu_alpha","alpha",1.62,1.50123160989667,1.49679045,1.27156759,1.74446309,-0.118768390103333,0.118768390103333,TRUE,1.00039126861707,6683.26462441548,7502.81726645011
16,"mu_beta","beta",0.808,0.845660368119167,0.84486222,0.7244518745,0.9713725155,0.0376603681191666,0.0376603681191666,TRUE,1.00089628225477,4301.20547079934,6501.07193762432
16,"mu_lambda","lambda",0.0814,0.0732373700293333,0.073064013,0.04835284775,0.0987525045,-0.00816262997066666,0.00816262997066666,TRUE,1.00039293592796,6609.02467002659,7132.50789753693
