"k","n_divergent","n_max_td","max_rhat","min_ess"
1,0,0,1.00405923151973,776.917359144124
2,0,0,1.00337460320231,1412.94535503367
3,0,0,1.00387340491463,1642.28670998968
4,0,0,1.00564165876232,683.852537795663
5,0,0,1.00314086950403,2351.5693128493
6,0,0,1.01438258632142,320.648108875414
7,0,0,1.00707154057002,684.35018006343
8,0,0,1.00280556223562,1382.79401199209
9,0,0,1.00162495729515,2267.86094876447
10,0,0,1.00200980217597,2339.94859572092
11,0,0,1.00145841284351,2514.31002865516
12,0,0,1.004262799241,1219.85877752396
13,0,0,1.00176581911042,1949.16085362238
14,0,0,1.00152866524698,1758.24469253154
15,0,0,1.00197113027067,2281.42613337863
16,0,0,1.00215440692074,1217.38248192132
17,0,0,1.00261907536346,1734.0111872446
18,0,0,1.00367334156015,2134.15162859545
19,0,0,1.00214971197976,2196.25464478503
20,0,0,1.00531646316179,926.256245337872
21,0,0,1.00315067063772,2590.25628961121
22,0,0,1.02792964549628,357.776393436862
23,0,0,1.00254853654631,2877.85676270487
24,0,0,1.11240245511023,22.8323697206001
25,0,0,1.00490975904606,1355.79736236228
26,0,0,1.00173945935614,2840.64440413693
27,0,0,1.00250128058524,2538.59915486824
28,0,0,1.00341527874762,2149.47928050908
29,0,0,1.00249231677847,2706.79381327812
30,0,0,1.00243337949456,2711.58492186396
31,0,0,1.00841747876096,602.387785205451
32,0,0,1.00166447119687,2393.08157269992
33,0,0,1.00512657356242,813.044496055972
34,0,0,1.00230898539984,2091.26927380966
35,0,0,1.00953652392173,429.027932425554
36,0,0,1.01614161248986,475.979462880772
37,0,0,1.00191216594353,2202.61101219128
38,0,0,1.00195841743216,2380.00442317364
39,0,0,1.00274598099982,1995.04747013126
40,0,0,1.00328421026006,2080.52546680403
41,0,0,1.00187207974821,2552.66697012487
42,0,0,1.00848281289404,1056.23274411183
43,0,0,1.00203570831908,2743.19320981092
44,0,0,1.00353081226061,1465.54480045307
45,0,0,1.00350094437475,980.384617322004
46,0,0,1.00409058972426,476.434894625887
47,0,0,1.00241879863361,1592.47528533247
48,0,0,1.00230572308667,2278.32850632131
49,0,0,1.00188342015596,1567.60932369779
50,0,0,1.00171072278441,2109.78520437508
51,0,0,1.00381302487417,1827.97207760768
52,0,0,1.733491931437,6.0454941953572
53,0,0,1.00243478004098,1482.57358902429
54,0,0,1.00236502213623,2627.22229890126
55,0,0,1.00396252750484,1378.74443249128
56,0,0,1.00551179561587,1456.04847300127
57,0,0,1.0058202482985,971.614971279014
58,0,0,1.00372562098407,1497.379995847
59,0,0,1.00602362685375,728.084409315979
60,0,0,1.00647285840511,441.8099674206
61,0,0,1.01089256723974,770.429482129855
62,0,0,1.01321825976485,469.5571832251
63,0,0,1.00198133615071,2744.59799770343
64,0,0,1.00635024370814,1565.6518235183
65,0,0,1.00198867746259,2473.6052224415
66,0,0,1.00236984524859,2626.14446033046
67,0,0,1.00251566440251,999.243759036511
68,0,0,1.00206381415483,2429.91984200958
69,0,0,1.0349339760469,140.190311618162
70,0,0,1.00217019323366,2886.97890061824
71,0,0,1.00216439219092,2274.5157823233
72,0,0,1.00351904554693,1000.30694536581
73,0,0,1.00206713154425,2789.53582833592
74,0,0,1.0028880329739,1961.08785769135
75,0,0,1.64121950025126,6.43722521109953
76,0,0,1.0509064260861,84.8994084824307
77,0,0,1.00281207768852,2502.56760552617
78,0,0,1.00473554977553,1152.59304056576
79,0,0,1.0019038502544,2599.56274767911
80,0,0,1.00399548208901,2070.90752245969
81,0,0,1.0017984167002,2118.40808794238
82,0,0,1.00200568358956,2447.24371834434
83,0,0,1.00174844433022,2473.47458529915
84,0,0,1.00164100413391,2731.8071685818
85,0,0,1.0018250132878,2473.32524240414
86,0,0,1.01255950186003,231.514160245003
87,0,0,1.00284350627447,1928.84839916652
88,0,0,1.00175567543819,2413.1176638555
89,0,0,1.00612901702515,417.369493464772
90,0,0,1.001777748943,2614.96888333114
91,0,0,1.00516712985371,783.319473482039
92,0,0,1.00383475949194,970.847924241422
93,0,0,1.00163986410543,2644.85823731109
94,0,0,1.02452436261606,145.219627253984
95,0,0,1.52820545570464,7.08336931393217
96,0,0,1.00490053320754,1257.20929772732
97,0,0,1.00229723117871,2687.15915116017
98,0,0,1.01092249925066,577.513892822972
99,0,0,1.52849432616746,7.09071275231323
100,0,0,1.0017296627978,2426.48159706609
101,0,0,1.00337777537989,1996.17905584857
102,0,0,1.00316125900845,1443.5727045583
103,0,0,1.00486250002225,1277.20598494488
104,0,0,1.00269604637158,1079.95537543729
105,0,0,1.00282855144564,2562.36336762986
106,0,0,1.00167051829398,2226.68858633769
107,0,0,1.00650944820263,690.469860435193
108,0,0,1.00395149938787,1164.47915216513
109,0,0,1.00193699627013,2434.10605209134
110,0,0,1.00176883584775,2660.79682846644
111,0,0,1.01237566917006,336.712722552369
112,0,0,1.00220680804925,1833.68468633762
113,0,0,1.01393499163681,297.279753635851
114,0,0,1.00563905326153,1081.1393985696
115,0,0,1.00354272569423,1937.69592709615
116,0,0,1.53115432416874,7.09279582416041
117,0,0,1.00194410698742,1633.31520355437
118,0,0,1.0035353548206,1103.69424648698
119,0,0,1.00315722635519,2403.53219723487
120,0,0,1.52807380531759,7.07942470776295
121,0,0,1.00162466444844,2774.13194785854
122,0,0,1.0027611958541,2253.78768836704
123,0,0,1.0032202169266,2692.95633653665
124,0,0,1.28789015847604,10.4897884113302
125,0,0,1.0032709195967,1664.47469474579
126,0,0,1.00305587383382,1793.19919788291
127,0,0,1.00250799646348,2620.9840895296
128,0,0,1.00168852419625,2539.47553793538
