"k","variable","subject","param","simulated","estimated","median","q5","q95","bias","abs_bias","covered_90","rhat","ess_bulk","ess_tail"
1,"params[1,1]",1,"alpha",1.59406206213948,1.59534103889583,1.58698515,1.165586555,2.057378265,0.0012789767563548,0.0012789767563548,TRUE,0.99999237756477,13527.46913762,9808.30162397347
1,"params[2,1]",2,"alpha",1.43336462544334,1.20773960403583,1.1941243,0.7895723845,1.673692085,-0.225625021407506,0.225625021407506,TRUE,1.0007307910208,16713.1406576978,9867.38723062783
1,"params[3,1]",3,"alpha",3.04525492591779,2.73659597251667,2.71298245,2.07369932,3.47957694,-0.308658953401122,0.308658953401122,TRUE,1.00052860818111,14916.462264347,9977.40124712824
1,"params[4,1]",4,"alpha",3.2632528256798,2.92671905375833,2.9086259,2.172712145,3.739051185,-0.336533771921462,0.336533771921462,TRUE,1.00045477483201,17785.7541683414,8644.2588878734
1,"params[5,1]",5,"alpha",1.51152952277388,1.18829963838833,1.1750098,0.738313467,1.686058295,-0.32322988438555,0.32322988438555,TRUE,1.00010606566714,15467.287985612,9598.4559499369
1,"params[6,1]",6,"alpha",1.42306785404146,1.47427245745333,1.46742785,1.038238205,1.93334178,0.0512046034118694,0.0512046034118694,TRUE,0.999868516477335,14321.500503541,10136.3304132383
1,"params[7,1]",7,"alpha",2.9953296687009,2.79304147154167,2.77232815,2.051899585,3.61016119,-0.202288197159237,0.202288197159237,TRUE,1.00026186492356,13651.2656716437,9210.17837956901
1,"params[8,1]",8,"alpha",1.59193159461542,2.057005384355,2.03413745,1.441467755,2.73507135,0.465073789739584,0.465073789739584,TRUE,1.00011936967181,13594.3138225275,9508.76368008147
1,"params[9,1]",9,"alpha",3.11114312612353,3.46090260771667,3.44232325,2.67292336,4.30705315,0.349759481593135,0.349759481593135,TRUE,1.00037456493306,15767.0670069535,10450.5575740025
1,"params[10,1]",10,"alpha",2.00649769781202,1.94159355446083,1.93440915,1.424530145,2.48528873,-0.0649041433511903,0.0649041433511903,TRUE,1.00028997129118,16555.3632341229,9032.95151531981
1,"params[11,1]",11,"alpha",1.83015225055112,1.823608278115,1.8002728,1.262136045,2.460370405,-0.00654397243611604,0.00654397243611604,TRUE,1.00082571082908,14500.9212106096,9054.92409629971
