"param","n","r","bias","mean_abs_bias","rmse","coverage_90","max_rhat","min_ess_bulk"
"alpha",5746,0.934154685172824,0.00517203940967791,0.346923516540242,0.443215738277772,0.891750783153498,1.00287001183601,2837.16617030399
"beta",5746,0.906458005317619,-0.000270497813899932,0.108369826643562,0.138636423645282,0.885833623390184,1.00914178746327,551.276657892072
"lambda",5746,0.848105354208358,0.000159716290043511,0.0262172860656415,0.0352066408294946,0.892794987817612,1.00250799646348,3650.73807910424
"delta",5746,0.586022360825269,0.000732185427897016,0.177955942055168,0.23141784494389,0.902018795683954,1.06713316499402,46.3223980221201
"eta",5746,0.847615172648761,0.00314570579523827,0.10838372723047,0.143195790800936,0.885659589279499,1.06692223878915,44.3960534655524
