"k","variable","subject","param","simulated","estimated","median","q5","q95","bias","abs_bias","covered_90","rhat","ess_bulk","ess_tail"
1,"params[1,1]",1,"alpha",2.29984438874801,2.10942858164583,2.09470095,1.552831775,2.7248711,-0.190415807102172,0.190415807102172,TRUE,1.00028659000634,16564.8063491064,9283.15529496959
1,"params[2,1]",2,"alpha",2.10998308999312,2.21550610637417,2.19348415,1.596460245,2.8968438,0.105523016381047,0.105523016381047,TRUE,1.00030064495286,20238.1950961476,10126.96425437
1,"params[3,1]",3,"alpha",3.81711093818754,3.9669244665,3.9513408,3.10124206,4.890803005,0.149813528312465,0.149813528312465,TRUE,1.00042074160465,14973.0368452472,9087.79243623875
1,"params[4,1]",4,"alpha",4.01913901030195,4.11327266729167,4.09667935,3.1473883,5.141580535,0.094133656989718,0.094133656989718,TRUE,1.00100285255733,14477.1742967363,8176.46494816306
1,"params[5,1]",5,"alpha",2.20299079403851,2.3925013153,2.37402605,1.736612945,3.12710712,0.189510521261489,0.189510521261489,TRUE,1.00029686465671,16655.3498647953,9530.90940464209
1,"params[6,1]",6,"alpha",2.09763549280129,2.49730839731667,2.48132455,1.873021575,3.179323185,0.399672904515373,0.399672904515373,TRUE,1.00013880409628,14682.5430004205,10199.7986071929
1,"params[7,1]",7,"alpha",3.76997653585893,3.20180315926667,3.1735349,2.382961655,4.10591509,-0.568173376592259,0.568173376592259,TRUE,1.00012626846711,13525.5685544991,8824.69027529559
1,"params[8,1]",8,"alpha",2.29736123687731,2.22018924483333,2.18533205,1.527665105,3.020825515,-0.0771719920439802,0.0771719920439802,TRUE,0.999919802380217,13291.1248998195,9885.83120947839
1,"params[9,1]",9,"alpha",3.87881846449081,4.86510002195833,4.894772,3.936353475,5.693466135,0.986281557467524,0.986281557467524,FALSE,1.00052667639779,11912.176243278,9001.16891935195
1,"params[10,1]",10,"alpha",2.764779045092,3.18935008459167,3.16822545,2.40529146,4.05544476,0.424571039499664,0.424571039499664,TRUE,1.00007892407111,17349.0682732295,8897.89531780315
1,"params[11,1]",11,"alpha",2.56970230190368,2.36351036098833,2.34696405,1.64649691,3.146406615,-0.206191940915351,0.206191940915351,TRUE,1.0007529898331,19046.0030175829,7577.05860068132
1,"params[12,1]",12,"alpha",0.931945846134694,0.696711668009333,0.686122695,0.306279119,1.130882735,-0.23523417812536,0.23523417812536,TRUE,1.00021647992251,12896.3757450627,8690.54943756237
1,"params[13,1]",13,"alpha",2.22677926128635,1.78430719965667,1.77172215,1.259144485,2.36308762,-0.442472061629686,0.442472061629686,TRUE,1.00034756762325,16987.7549717719,9837.96309905384
1,"params[14,1]",14,"alpha",1.44531771763842,1.44952105913667,1.43593865,0.996141545,1.939753965,0.00420334149824919,0.00420334149824919,TRUE,0.99993519897181,15719.109715857,9931.07578235489
1,"params[15,1]",15,"alpha",3.09745465240053,2.75574281214167,2.73198075,1.99148083,3.59262282,-0.341711840258865,0.341711840258865,TRUE,0.99984078365996,16145.5062317898,9370.31668091963
1,"params[16,1]",16,"alpha",3.73403113254421,4.37729726494167,4.3715891,3.379113645,5.39744694,0.643266132397453,0.643266132397453,TRUE,0.999956596040984,12391.2324434077,8992.30930321179
1,"params[17,1]",17,"alpha",2.26592663361876,2.33955574661333,2.32226445,1.723662855,3.01377006,0.073629112994571,0.073629112994571,TRUE,1.00029398919561,14503.8389511762,9116.6964646146
1,"params[18,1]",18,"alpha",3.25208355505006,2.93718517309167,2.90901165,2.12329968,3.846060995,-0.314898381958391,0.314898381958391,TRUE,1.0002094250161,14906.6842537313,9699.08379416247
1,"params[19,1]",19,"alpha",3.36259481865209,3.20137800324167,3.17749325,2.38632466,4.094357185,-0.161216815410424,0.161216815410424,TRUE,1.00109875310923,17599.8099694151,9189.92027898487
