"param","n","r","bias","mean_abs_bias","rmse","coverage_90","max_rhat","min_ess_bulk"
"alpha",202,0.978536770052605,0.0258046550332797,0.187222187970681,0.233033715876605,0.915841584158416,1.02366453720126,1001.02005552711
"beta",202,0.951813273887884,0.00469937031271989,0.0560924057011286,0.0688134235415283,0.915841584158416,1.02817514561028,113.278319499633
"lambda",202,0.878388271800772,0.00278313602207633,0.0114393336475089,0.0146336964014176,0.915841584158416,1.00912705659259,548.666197366877
"delta",202,0.967888271590844,-0.0146853762659641,0.077704852443528,0.106952124325937,0.925742574257426,1.05786129867819,79.5467631264196
"eta",202,0.770127107326119,-0.00379286377626963,0.0472513613215607,0.0604073761556782,0.925742574257426,1.05279593159079,71.7176495685961
