"param","n","r","bias","mean_abs_bias","rmse","coverage_90","max_rhat","min_ess_bulk"
"alpha",4040,0.922017901032908,0.0191326664185931,0.382728476674674,0.483901489987043,0.888118811881188,1.05832729648767,43.771983071304
"beta",4040,0.890465629745228,0.00223301785308735,0.117555844051287,0.148579878504455,0.889851485148515,1.06966259192631,47.5512496120449
"lambda",4040,0.873599917914813,0.000836306000909208,0.022794296465201,0.0302151426590302,0.886881188118812,1.0673921413556,38.4704017598235
"delta",4040,0.889825794786598,-0.00797568123938936,0.156792050772246,0.206795316378297,0.918069306930693,1.06686228560798,40.7898924168492
"eta",4040,0.891422956204133,-0.00104684162511784,0.087015155828694,0.117037935074069,0.897029702970297,1.07109309925377,36.434350940099
