"k","variable","param","simulated","estimated","median","q5","q95","bias","abs_bias","covered_90","rhat","ess_bulk","ess_tail"
146,"mu_eta","eta",-0.245,-0.261522254760353,-0.26185367,-0.389383077,-0.132946778,-0.0165222547603533,0.0165222547603533,TRUE,1.00262443000697,2876.93736800812,5156.1629276227
147,"mu_alpha","alpha",4.96,5.058547234725,5.04771975,4.63911907,5.525057,0.0985472347250003,0.0985472347250003,TRUE,1.000229433996,7307.15215455909,5880.0766248549
147,"mu_beta","beta",0.381,0.416663410506667,0.41572574,0.3432214795,0.492754306,0.0356634105066667,0.0356634105066667,TRUE,0.999993117594778,12189.5732711995,9147.32709133418
147,"mu_lambda","lambda",0.0704,0.0798525649016667,0.079185115,0.05410264045,0.108190932,0.00945256490166667,0.00945256490166667,TRUE,1.00007115314144,3723.21133218539,5706.13406624469
147,"mu_delta","delta",1.3,1.2851219110575,1.2845175,1.092674345,1.47613916,-0.0148780889425,0.0148780889425,TRUE,1.00246050584542,2072.95347126063,3254.3114061192
147,"mu_eta","eta",-0.245,-0.229588678154525,-0.231504035,-0.325142077,-0.1307367635,0.015411321845475,0.015411321845475,TRUE,1.0019776331487,2596.0498675332,5144.11512290153
148,"mu_alpha","alpha",2.33,2.00795099841667,2.00194485,1.660007925,2.379982435,-0.322049001583333,0.322049001583333,TRUE,0.999989860849376,3855.50480049801,5612.8564768507
148,"mu_beta","beta",0.645,0.618774855616667,0.617424865,0.542352131,0.6999067125,-0.0262251443833333,0.0262251443833333,TRUE,1.00038515720178,7643.38432204494,8172.38035466599
148,"mu_lambda","lambda",0.0704,0.084028415242525,0.083545143,0.05005791415,0.11937732,0.013628415242525,0.013628415242525,TRUE,1.00043421824794,4465.6010586393,6388.51295196463
148,"mu_delta","delta",1.3,1.4774796547675,1.47123045,1.197092865,1.779164625,0.1774796547675,0.1774796547675,TRUE,1.00006097700621,3428.98163523282,4633.57501306257
148,"mu_eta","eta",-0.245,-0.296427955691,-0.29795969,-0.384471408,-0.2023533815,-0.051427955691,0.051427955691,TRUE,1.00207107020483,3545.54990829543,5833.21421732779
