Group,mu_alpha_mean,mu_alpha_sd,mu_beta_mean,mu_beta_sd,mu_delta_mean,mu_delta_sd,mu_lambda_mean,mu_lambda_sd,mu_eta_mean,mu_eta_sd
Implicit Unaware,3.657622101125,0.6383466274537859,0.6509587447225,0.13372049466437289,0.7673180065524999,0.17384121984269862,0.069693739829,0.015562090951698927,-0.394548090759645,0.1681151034782904
Implicit Aware,2.61055622215,0.5386295411243951,0.34126041495625,0.08407328969690085,0.8665814937375,0.12523305030408496,0.057402580566,0.015274171735402898,-0.3450125211874075,0.20221177712014798
Explicit Undirected,2.9868464005425,0.6960924784945892,0.581533399672,0.12480394732127516,0.984308941185,0.08162162294201315,0.08079256681475,0.01804599196354375,-0.33833182145054497,0.2223810129831742
Explicit Truthful,4.19314007175,0.5874356809857668,0.4006396596015,0.10747246642141625,1.1320348539,0.0780717122001144,0.045327409402,0.013221751394573798,0.06998871098941752,0.2583920214005349
Explicit Deceptive,2.4674555883325002,0.49326257989728095,0.65133837748025,0.15268768373022276,0.827324255122,0.21239225400883543,0.07680178478807499,0.03871794807273871,-0.97221875174275,0.23791536973835536
