"variable","mean","median","sd","q2.5","q97.5","rhat","ess_bulk","ess_tail","model"
"mu_alpha",3.656164165625,3.6587593,0.673980904819829,2.3317348925,4.95932179,1.00200515886817,805.579255035904,1660.77317960575,"log_boost_model_unaware"
"mu_beta",0.644677609647,0.64445351,0.135735373198673,0.38132060925,0.9135148425,1.00405579912584,650.55051864338,1081.85399488368,"log_boost_model_unaware"
"mu_lambda",0.0704469779895,0.070191656,0.0161392600461433,0.040081450375,0.10265664725,1.00269066840431,1686.06256811294,1803.23269723782,"log_boost_model_unaware"
"mu_delta",0.764724944705,0.76768778,0.271629025458537,0.2291906545,1.302449525,1.0016829286241,1300.80543346179,1871.69825165675,"log_boost_model_unaware"
"mu_eta",-0.2452677695405,-0.242972345,0.0466202433063904,-0.34574525625,-0.1621413675,1.00287621753185,1211.45407992025,1988.07532622423,"log_boost_model_unaware"
