"participant","parameter","mean","median","sd","q2.5","q97.5","rhat","ess_bulk","ess_tail","model"
17,"beta",0.87929775882,0.87823237,0.154446611707528,0.5904424965,1.1936678625,0.99966302879732,4944.00748220705,3561.0349496944,"log_boost_model_unaware"
17,"lambda",0.0884332328116644,0.0858929165,0.0366530423286791,0.024450418175,0.1671460865,1.00016164696899,4555.97074044815,2437.63922046093,"log_boost_model_unaware"
17,"delta",0.893080405383747,0.98343497,0.435874239334854,0.0141485368,1.7397835,1.0023156528845,1036.6409776731,1477.71583423045,"log_boost_model_unaware"
17,"eta",-0.325828697087715,-0.30577292,0.141017463592391,-0.61134658925,-0.084072444675,1.00265219350513,1014.01426744414,2321.30654515809,"log_boost_model_unaware"
18,"alpha",4.27021550745,4.2252898,0.707204673542583,2.9816456875,5.7861816,1.00350227558494,3708.52038399968,1404.84928706126,"log_boost_model_unaware"
18,"beta",0.338807302927,0.33750642,0.147254586622065,0.052215487725,0.62629875975,1.00078822414102,5861.26855907532,3453.90817739946,"log_boost_model_unaware"
18,"lambda",0.038837021834361,0.036426041,0.0212726052919306,0.00495663347,0.08615951575,1.00063210757575,4300.35505518953,2725.33950673337,"log_boost_model_unaware"
18,"delta",0.349085020203636,0.27083242,0.306833294594872,0.000715356975250001,1.0806628275,1.000904512289,2617.17241984155,2558.6904196542,"log_boost_model_unaware"
18,"eta",-0.209197950573868,-0.209650725,0.0860978723140374,-0.381353492,-0.040894842775,1.00522797949172,4244.39074640591,3226.94150525146,"log_boost_model_unaware"
19,"alpha",2.965267114675,2.9342719,0.5328037712749,2.0021250225,4.0721309375,1.00023152822691,4750.48641444722,3659.6800432524,"log_boost_model_unaware"
19,"beta",1.1869153146625,1.178323,0.203285814392568,0.8123219585,1.609103265,1.00062538693176,5148.78389476303,3620.16728496632,"log_boost_model_unaware"
19,"lambda",0.04420318663398,0.0427069935,0.0210157476176037,0.00847453719,0.088596054175,0.999936974822219,4625.80700405918,2747.57216440003,"log_boost_model_unaware"
19,"delta",0.821682878481942,0.792186425,0.428236050753561,0.019566568525,1.8734663,1.00380727966416,3217.50360981273,2033.39497808203,"log_boost_model_unaware"
19,"eta",-0.3512874876675,-0.3463699,0.084274957866059,-0.52678657775,-0.20512962475,1.00143949130559,958.697256308951,1178.56426436003,"log_boost_model_unaware"
20,"alpha",4.4587861932,4.4278306,0.757081118536741,3.0390330475,5.9704171125,0.999720232738089,2718.52965009862,1414.92511784601,"log_boost_model_unaware"
20,"beta",0.8548264465,0.84704832,0.187485970535394,0.50599419175,1.2302394675,1.00096989208188,5541.27296243746,2956.4309446964,"log_boost_model_unaware"
20,"lambda",0.0202948602386378,0.017948723,0.0132515981747714,0.0018742617,0.052278564975,1.00182129565022,3942.69140895653,2825.03915624655,"log_boost_model_unaware"
20,"delta",0.91985102644497,0.967458605,0.509869100237832,0.014081623675,1.9097858675,1.00015236684675,3793.62616571307,2623.99615317902,"log_boost_model_unaware"
20,"eta",-0.17714313188186,-0.17970497,0.0733481169363188,-0.31968573925,-0.029975879875,1.00078122601287,3227.06569041287,3290.14027872242,"log_boost_model_unaware"
