participant,parameter,mean,median,sd,q2.5,q97.5,rhat,ess_bulk,ess_tail
1,alpha,4.94652793155,5.004403099999999,0.7652208293615439,3.3336891200000003,5.9983170050000005,1.0007819141334464,2736.335969887167,1668.1499774266306
1,beta,1.0799903489575,1.0712765499999999,0.2248696096169004,0.65688345975,1.5397925575,1.0002064522262484,4927.556840612914,3010.091053101439
1,lambda,0.08942383142455,0.08909883299999999,0.026872249191780773,0.03722290775,0.14349702450000001,1.0002691375980965,4579.32770518539,2622.704630533236
1,delta,1.0348185841275,1.0080553499999998,0.13416084526309507,0.79972080675,1.3560957150000001,1.001003997957287,1875.4444411076572,2050.053716101721
1,eta,-0.03319296686691588,-0.0381288835,0.09191082247704524,-0.19906598225,0.16404114250000004,1.001226463447794,2931.016700326826,2693.32145904482
2,alpha,5.5421786353,5.68663175,0.4634715953777564,4.3557880525,5.9997622,1.000157241033149,3606.1700865753246,2660.3441592498116
2,beta,-0.21620576917757675,-0.21386451,0.12878795517830202,-0.46785958275,0.036763277625000014,0.9997152457791134,6098.079633989748,3379.0255014984614
2,lambda,0.0639507319514425,0.0625004995,0.026598005535799777,0.015894941825,0.1208648625,1.000671795989091,4212.388457768976,2620.6150851956545
2,delta,0.9874189454625,0.99141133,0.06179064590184941,0.8458679600000001,1.0990806825,1.0004765511448577,4428.938937818848,3033.635787166009
2,eta,-0.3634715581162,-0.36075257,0.11403581110027995,-0.5909540040000001,-0.14505719999999997,1.0006643208062707,2874.7940521857586,2116.3071538274216
3,alpha,2.2115614489575,2.1863840999999997,0.6463095844335853,1.056743965,3.591254245,1.0015937682109517,4778.003506493522,3122.3312709553097
3,beta,1.1531192264375,1.1447097,0.22509606106201588,0.733162299,1.628947025,1.000532216348005,3838.6571593204617,3338.622351447658
3,lambda,0.28731341308025,0.28325361000000004,0.07113462177952931,0.16242314575,0.4439501195,1.002087663271108,4075.289724162444,3212.7845556415896
3,delta,1.02320872339,1.00029205,0.11054834557728654,0.8524365767500001,1.3107523475,1.0022809178208325,2877.0142032412327,2147.2070627765297
3,eta,-0.020993164239552005,-0.021024272,0.10760253919112459,-0.23163181975,0.19269968975000004,1.0030562672296244,3929.098764471133,2759.1105130748956
4,alpha,3.257356352875,3.2192269,0.6181262622533765,2.14853639,4.523020987500001,1.000157614776679,4714.262772972537,2845.605828496985
4,beta,0.71429382413,0.7093841599999999,0.17112654035381675,0.39555099225,1.064251515,1.0017014273783966,4897.868454344036,2872.39801291108
4,lambda,0.07798988817583,0.0769644905,0.028491931577570347,0.0242625246,0.137109755,1.001654443693295,4062.275346396113,2094.0823811554055
4,delta,1.000808296395,0.9934664950000001,0.1333828313267957,0.7467307089999999,1.3258134025,1.0019366755390835,3692.8467993673894,2461.900073523765
4,eta,0.0070806098689304995,0.0066301251,0.095606739909903593,-0.18138617925000003,0.1913792595,1.0016437666426001,4108.318936859319,2364.4323748658385
5,alpha,0.35066801472340137,0.31426962999999997,0.2624222083716866,0.0019479565650000004,0.92204787275,1.001541836735993,3120.2728259845458,2402.9262992897993
5,beta,0.26372854957944997,0.260890355,0.10958338768835237,0.05718467622500001,0.48959444250000006,1.000566398125297,3827.9467949831087,3449.418256361027
5,lambda,0.1235658112637925,0.10754295999999999,0.08149387840529401,0.01263727245,0.32662795575000003,1.0002127120063788,3479.77095301494,2966.0187254975767
5,delta,1.0132807441775,0.987077225,0.14293897862929023,0.8182195552500001,1.4953299025,1.0083084803514277,2262.726082179537,785.9972471370553
5,eta,-0.2392334814696775,-0.23251591,0.16815022538749472,-0.5930297787500001,0.08203908325000005,1.0000211448220195,2983.6072481064984,2816.8186008508483
6,alpha,2.2671983776875,2.23375325,0.555673593602031,1.2639026875,3.4267427500000003,0.9996348519784537,4761.211213404548,3714.1969291399437
6,beta,0.7190974586425,0.71246991,0.16448262726273064,0.4107494265,1.05462231,1.0004758235621716,4643.3336673181975,3249.1396972458338
6,lambda,0.11948280368032249,0.11796393,0.04216225208000252,0.0406757313,0.20635288575,1.0011925509017932,3458.8346678966013,2201.0474564282113
6,delta,1.02543267604,1.0081296499999999,0.12171211978317324,0.8018643755,1.3329602675,1.001367199663739,2582.707646872612,1839.650493997314
6,eta,-0.004811150512849226,-0.0027501305,0.1038941992684942,-0.2108081475,0.19850936775000003,1.000385661826299,4083.470474279925,3050.7943084908193
7,alpha,3.391516322275,3.3538907,0.701994804870304,2.1145799575,4.8921954225,1.0000795007232337,4677.571109089251,2600.9874813435754
7,beta,1.3219282713575,1.3111518,0.22573819165300643,0.9060984492499999,1.7956400250000002,1.0002313143676567,4715.751679994472,3304.673218214104
