"variable","mean","median","sd","q2.5","q97.5","rhat","ess_bulk","ess_tail","model"
"mu_alpha",2.6019756662675,2.56954045,0.535047981401581,1.62766356,3.69728008,1.00538320575927,422.813143764315,1010.60217174338,"log_boost_model_aware"
"mu_beta",0.352052880654075,0.352598835,0.0835132822637673,0.18503429325,0.51778477925,1.0080006889,463.011185623923,1071.79531011798,"log_boost_model_aware"
"mu_lambda",0.0511854644451,0.0512001545,0.0144330765352993,0.023902336325,0.080773629775,1.00348082151461,1539.67831453558,1854.03108869435,"log_boost_model_aware"
"mu_delta",0.936831377315,0.93796489,0.115891049569503,0.7031711935,1.17131656,1.00230601771472,647.02144146422,1149.41465628596,"log_boost_model_aware"
"mu_eta",-0.47704190005915,-0.47271086,0.130794433017453,-0.744287259,-0.22720753875,1.00720121066025,461.27635950233,899.968005771815,"log_boost_model_aware"
