"variable","mean","median","sd","q2.5","q97.5","rhat","ess_bulk","ess_tail","model"
"mu_alpha",4.19314007175,4.2173306,0.587435680985767,2.97341288,5.2737730075,1.00486492477437,1288.18465355067,1739.57603494251,"log_trunc_global_eta_unaware"
"mu_beta",0.4006396596015,0.39860131,0.107472466421416,0.188662607,0.612359533,1.00145258116655,1005.91245524781,1622.56937274839,"log_trunc_global_eta_unaware"
"mu_lambda",0.045327409402,0.0449978215,0.0132217513945738,0.020457057975,0.07201340135,1.00036206804042,2404.98462519646,2206.37030234044,"log_trunc_global_eta_unaware"
"mu_delta",1.1320348539,1.1290353,0.0780717122001144,0.98880471225,1.2980066775,1.01180439352801,360.338219955056,1277.34644785026,"log_trunc_global_eta_unaware"
"mu_eta",0.0699887109894175,0.064073563,0.258392021400535,-0.423433308,0.58624790075,1.00086167225029,2174.28038356542,2900.12545837196,"log_trunc_global_eta_unaware"
