"variable","mean","median","sd","q2.5","q97.5","rhat","ess_bulk","ess_tail","model"
"mu_alpha",2.61055622215,2.58653995,0.538629541124395,1.6370368025,3.718437215,1.00388020733024,595.955598811605,1210.68635440436,"log_trunc_global_eta_aware"
"mu_beta",0.34126041495625,0.34207423,0.0840732896969009,0.1740596355,0.50604311675,1.00247818884366,638.057921610265,928.887260869293,"log_trunc_global_eta_aware"
"mu_lambda",0.057402580566,0.0568991635,0.0152741717354029,0.0284014348,0.0890890673,1.00190409831239,1382.32307192028,1888.11384029879,"log_trunc_global_eta_aware"
"mu_delta",0.8665814937375,0.872573275,0.125233050304085,0.61818559775,1.09383138,1.00920679575933,588.162976273067,1629.37558052347,"log_trunc_global_eta_aware"
"mu_eta",-0.345012521187407,-0.346330245,0.202211777120148,-0.7318049945,0.052685556175,1.0077043482143,935.087537567447,2079.42779836214,"log_trunc_global_eta_aware"
