"variable","mean","median","sd","q2.5","q97.5","rhat","ess_bulk","ess_tail","model"
"mu_alpha",2.9868464005425,2.96567225,0.696092478494589,1.645022225,4.3418722525,1.08750691190971,36.5046634259612,232.431842097446,"log_trunc_global_eta_aware"
"mu_beta",0.581533399672,0.587752115,0.124803947321275,0.322169496,0.81054893075,1.08684140170307,36.7647869247166,1028.19856812453,"log_trunc_global_eta_aware"
"mu_lambda",0.08079256681475,0.080211695,0.0180459919635438,0.0460685536,0.11820776875,1.12379141518065,22.6434369515004,66.6308386383602,"log_trunc_global_eta_aware"
"mu_delta",0.984308941185,0.98407147,0.0816216229420132,0.810726611,1.14873088,1.13684636884031,20.7200655920541,76.851800247241,"log_trunc_global_eta_aware"
"mu_eta",-0.338331821450545,-0.34443157,0.222381012983174,-0.8263522015,0.1216875615,1.09373885592167,63.4801342177328,72.9080702386364,"log_trunc_global_eta_aware"
