"participant","parameter","mean","median","sd","q2.5","q97.5","rhat","ess_bulk","ess_tail","model"
1,"alpha",1.96349997933,1.9324547,0.455805467480119,1.160813075,2.9606634875,0.999982060117986,6108.55396253261,3187.92732482438,"log_boost_model_aware"
1,"beta",0.642104836225,0.636315635,0.142345263453106,0.37905736375,0.9312449225,0.999908314409065,6116.24725640651,2987.59654718387,"log_boost_model_aware"
1,"lambda",0.0550753843093913,0.047995965,0.0391717293414646,0.00243223085,0.147413679,1.0009319927401,4230.18942061222,2581.09826379772,"log_boost_model_aware"
1,"delta",1.325430423435,1.2842207,0.213860995053357,0.99760670275,1.842971425,1.0003087707631,2306.56681239997,2109.62772461111,"log_boost_model_aware"
1,"eta",0.0439843275399715,0.0248861385,0.121773857014979,-0.14444990325,0.363388137,1.00063519099797,3081.79857016,2078.53729879436,"log_boost_model_aware"
2,"alpha",2.15683172073,2.12548575,0.479251442124712,1.3148935325,3.192610015,1.00000831023642,6337.39544310635,3246.55268368033,"log_boost_model_aware"
2,"beta",0.869926041725,0.86510188,0.174687045403681,0.54785206075,1.232625505,1.00019005318229,6875.72417058754,2963.45307038589,"log_boost_model_aware"
2,"lambda",0.047470807016911,0.04467682,0.0285713514123579,0.0029523812125,0.11022829225,1.0000412458307,4064.18798534389,2252.6458885091,"log_boost_model_aware"
2,"delta",1.14057233352,1.0550794,0.295456830229579,0.7227533525,1.82309083,1.00058185839597,2140.90153926955,2131.37258538042,"log_boost_model_aware"
2,"eta",0.0722528971862015,0.0688127335,0.118450420911742,-0.1465791905,0.31217231975,1.00048003522907,6224.54176816371,2965.16967820353,"log_boost_model_aware"
3,"alpha",5.22725496385,5.33095255,0.598101035201826,3.9186309525,5.99198025,1.0009564117644,3935.39613875309,2447.83989922213,"log_boost_model_aware"
3,"beta",0.206943305839135,0.205163165,0.13634754989481,-0.057470135425,0.4823622505,1.00185678627278,5678.56223934564,3040.77635900832,"log_boost_model_aware"
3,"lambda",0.0466037153255454,0.04533048,0.0239304596911391,0.004462713475,0.09625529985,1.00162783696593,3859.38712363648,2083.82087289092,"log_boost_model_aware"
3,"delta",0.947959351075825,1.0303973,0.349739851753574,0.115704926,1.517719915,1.00233348873855,1478.04532993023,2225.80275117287,"log_boost_model_aware"
3,"eta",-0.193768565024513,-0.180568245,0.126096820052509,-0.4726437145,0.02894674725,1.00234359158097,1351.36132426483,2615.81796712779,"log_boost_model_aware"
4,"alpha",0.455338415219848,0.446605555,0.249502047596783,0.0147180142,0.97527218525,1.0006018027319,2153.45573507062,1612.90941968689,"log_boost_model_aware"
4,"beta",0.067358076089904,0.066382981,0.0958889457576101,-0.11618730675,0.26055463925,1.00072750758434,1700.16676135777,1336.67318943503,"log_boost_model_aware"
4,"lambda",0.0605408332315269,0.0446669585,0.057471064921851,0.00151093212,0.2162781865,1.00043684509745,4451.68889678337,2896.17411893438,"log_boost_model_aware"
4,"delta",1.50813113810725,1.54710085,0.313204871198028,0.4923383295,1.9353512,1.00812959995573,604.944358182154,283.171852635054,"log_boost_model_aware"
4,"eta",-0.480126922893866,-0.429278225,0.75200127028648,-2.163311015,0.885873215500001,1.00647995779486,854.43193560114,515.959933468403,"log_boost_model_aware"
5,"alpha",3.62323758425,3.57246145,0.738397319212492,2.2563629275,5.151985155,1.00033313131495,4262.74838557524,2449.40434185851,"log_boost_model_aware"
5,"beta",0.5689986061365,0.565434415,0.166611790683174,0.25550197625,0.92018935025,0.999861210752186,6214.67378266185,2971.19899901331,"log_boost_model_aware"
5,"lambda",0.2548114470545,0.254082145,0.0462012106458568,0.1666394975,0.3460518855,1.00032987113951,5514.87447811597,3472.87931141058,"log_boost_model_aware"
5,"delta",0.713379130539007,0.738142075,0.276926432395116,0.129325145,1.17150367,1.00014125139109,3599.39718551952,2644.71300898108,"log_boost_model_aware"
5,"eta",-0.50479324819875,-0.496902295,0.142413638043827,-0.7987396745,-0.23992841575,1.00155939682798,7308.54775716818,3151.92235621965,"log_boost_model_aware"
6,"alpha",1.556204497325,1.54735985,0.368136664116745,0.871966286,2.31030049,1.00104899759208,6811.5894264599,3267.59117633059,"log_boost_model_aware"
6,"beta",0.71993156504,0.71460348,0.141508635067299,0.453395615,1.0078914625,1.00113122007303,6379.75547448242,3183.78741680749,"log_boost_model_aware"
6,"lambda",0.0258798623203863,0.020761919,0.0208678319286306,0.0009033464035,0.077397087075,1.00156554798105,4887.91185797131,2709.92121844024,"log_boost_model_aware"
6,"delta",0.96540631426,0.95888817,0.0794489670099226,0.83144537075,1.16025787,1.00061704298409,2994.54778949439,1827.15605276286,"log_boost_model_aware"
6,"eta",0.0912063123928167,0.101582315,0.135973537678674,-0.23369235375,0.32772901075,1.00177166814571,3634.41475586222,1961.2967678667,"log_boost_model_aware"
7,"alpha",0.356570828604146,0.347526915,0.179512047005711,0.020680418675,0.73038613025,1.00215920556353,3320.83761965544,1402.28262409922,"log_boost_model_aware"
7,"beta",0.199592431468075,0.190672235,0.0829384096800333,0.06625693,0.38715068025,1.00269737113968,3027.1924438633,2307.09050224184,"log_boost_model_aware"
7,"lambda",0.0580234305118396,0.0446855345,0.04959814557948,0.0016218523875,0.17883195175,1.00047459758037,3467.07319066456,2785.48855757216,"log_boost_model_aware"
7,"delta",1.1207884638775,1.093813,0.189638350341986,0.83741540625,1.47139813,1.00134015038853,1500.31631149293,3547.27486770341,"log_boost_model_aware"
7,"eta",-2.365157994525,-2.32868985,0.430349833140776,-3.3265855475,-1.642704425,1.00235338700186,2568.28007564429,2400.41420686478,"log_boost_model_aware"
8,"alpha",2.403023413705,2.3712699,0.509249947269848,1.4776227475,3.477972965,1.00326664208013,2752.98720170154,2911.0511020501,"log_boost_model_aware"
8,"beta",-0.32636656784705,-0.31746743,0.133271170495728,-0.6156139075,-0.0917511580749999,1.00233359035733,2850.42841326309,2616.6314513454,"log_boost_model_aware"
8,"lambda",0.189786078055075,0.187512365,0.0761368376482073,0.0473091148,0.34924296425,1.00237451761639,3199.55161300196,1891.4195013768,"log_boost_model_aware"
8,"delta",0.530463162129935,0.47851741,0.288779044060739,0.088618621725,1.10177144,1.00078448800582,1384.78966947433,2341.48613549902,"log_boost_model_aware"
8,"eta",-1.04033565696595,-1.03020095,0.351116543631046,-1.7440347675,-0.37546931725,1.00213833867763,3175.98562710578,2682.81134352505,"log_boost_model_aware"
9,"alpha",3.7706059232,3.73057625,0.601614029005424,2.7127461825,5.0792913225,1.00182683416791,3544.13592564429,2421.68452718078,"log_boost_model_aware"
