"param","n","r","bias","mean_abs_bias","rmse","coverage_90","max_rhat","min_ess_bulk"
"alpha",4700,0.909426644300976,0.0195699538862437,0.364786342601219,0.465018607523622,0.888510638297872,1.00424709489106,819.016700052099
"beta",4700,0.879095603772244,-0.00237568966528266,0.111370121799173,0.14067401741487,0.890851063829787,1.00508397428171,841.921445491103
"lambda",4700,0.847712339253163,0.000202801613057586,0.0188284793690746,0.0256457054307066,0.888297872340426,1.00324266996941,3451.19464279413
"delta",4700,0.809458714869555,-0.00238291462558785,0.143310260062121,0.18901118233029,0.89936170212766,1.06481661160484,41.8281085406511
"eta",4700,0.903706089405363,-0.00345902648819826,0.123754490016962,0.168732907133197,0.879787234042553,1.06456334572408,41.5625354048196
