"k","variable","subject","param","simulated","estimated","median","q5","q95","bias","abs_bias","covered_90","rhat","ess_bulk","ess_tail"
1,"params[1,1]",1,"alpha",2.91854784756066,2.85453153823333,2.8395976,2.242636155,3.5190636,-0.06401630932733,0.06401630932733,TRUE,1.00026970229006,15761.8050574568,8554.78787629723
1,"params[2,1]",2,"alpha",2.71796387212514,2.86856793441667,2.84833135,2.17311559,3.63482678,0.150604062291523,0.150604062291523,TRUE,1.00048490406273,14380.2222743125,9047.4814518968
1,"params[3,1]",3,"alpha",4.37607449175674,4.02884052088333,4.0225302,3.188369905,4.914883255,-0.347233970873402,0.347233970873402,TRUE,1.00016802412342,14986.66784885,9719.06147970335
1,"params[4,1]",4,"alpha",4.55192577000971,3.81410399158333,3.79627685,2.963307325,4.71116828,-0.737821778426377,0.737821778426377,TRUE,1.00057517867816,15372.9447312405,9085.05493574183
1,"params[5,1]",5,"alpha",2.81678205923556,2.53141459180833,2.5197614,1.90098875,3.186044105,-0.285367467427224,0.285367467427224,TRUE,1.00017570717904,18459.6042431966,9364.69355778136
1,"params[6,1]",6,"alpha",2.70476286773388,2.51034928118333,2.49660505,1.948961805,3.11704455,-0.194413586550544,0.194413586550544,TRUE,1.00020555553722,17455.2970994845,10184.4860439807
1,"params[7,1]",7,"alpha",4.33444162736954,4.23806287839167,4.22844225,3.416257915,5.08351237,-0.0963787489778722,0.0963787489778722,TRUE,1.00006249040763,13919.0406800874,8733.95009625183
1,"params[8,1]",8,"alpha",2.91595303311813,2.97942260094167,2.95832855,2.186593565,3.857565815,0.0634695678235384,0.0634695678235384,TRUE,1.00027785440744,11486.5498835408,9114.44176239751
1,"params[9,1]",9,"alpha",4.43023371574838,4.210372045375,4.2108292,3.39828705,5.03731414,-0.219861670373381,0.219861670373381,TRUE,1.00022189885458,15408.8324400353,9692.18744125889
1,"params[10,1]",10,"alpha",3.3916887839175,3.25006626439167,3.23838265,2.49232671,4.061400305,-0.141622519525833,0.141622519525833,TRUE,0.999953635850252,15039.758454338,8992.43941923222
