"param","n","r","bias","mean_abs_bias","rmse","coverage_90","max_rhat","min_ess_bulk"
"alpha",188,0.97769677794488,0.0286797488048315,0.162422004823715,0.205017945859358,0.930851063829787,1.00176240305862,2636.86781588741
"beta",188,0.947245303973239,0.00032582803515227,0.0426234020937798,0.0537799192100747,0.936170212765957,1.00320029859496,1725.17589540384
"lambda",188,0.929944323807931,0.00253048675154441,0.00725692559065888,0.00981368100723084,0.914893617021277,1.00507877997653,2745.68191211635
"delta",188,0.936770631114978,0.00215869942667113,0.071544126617203,0.0907332439229646,0.893617021276596,1.03538118491949,100.385614031325
"eta",188,0.97829535905684,-0.0074589914520791,0.0495433161415718,0.0649354997038064,0.920212765957447,1.02413557709024,186.16267088443
