"k","n_divergent","n_max_td","max_rhat","min_ess"
1,0,0,1.00329906935782,1732.88500501315
2,0,0,1.00536097586816,1391.20324523032
3,0,0,1.53099069980392,7.09030655144656
4,0,0,1.00220850400284,2652.70856830903
5,0,0,1.00404010809087,1198.688506647
6,0,0,1.00618831552099,431.216144332973
7,0,0,1.52917082378072,7.08082538394826
8,0,0,1.00282124017285,2545.50112668432
9,0,0,1.00386787694207,1734.25390565534
10,0,0,1.00199773878645,2572.05631016432
11,0,0,1.01303340432639,332.677291319669
12,0,0,1.53036445196195,7.0990616265283
13,0,0,1.0015167099997,2192.71535222286
14,0,0,1.008061109419,715.392470657674
15,0,0,1.01470982736783,521.838504474869
16,0,0,2.64385973370254,4.69357477970225
17,1,0,1.19848817976148,14.1233755482831
18,0,0,1.001980403953,2200.85559810257
19,0,0,1.00269370056872,2099.61268005834
20,0,0,1.00255094288775,1237.94998599448
21,0,0,1.00319077342459,2077.91173960226
22,0,0,1.00234584393037,1730.84856221648
23,0,0,1.00667849825762,896.057984590231
24,0,0,1.02955469640634,147.512619757064
25,0,0,1.00231479276628,2860.31864937373
26,0,0,1.0065793707953,937.764823573742
27,0,0,1.00385903179115,1825.6691966651
28,0,0,1.02721626601319,229.763852345275
29,0,0,1.00301389268041,3145.28492634915
30,0,0,1.02296180895996,126.403616078905
31,0,0,1.00847051764928,525.317974694136
32,0,0,1.0109505524868,135.113408386697
33,0,0,1.00406361371934,1111.99947411989
34,0,0,1.00753873541587,485.244301088333
35,0,0,1.00307210387633,2391.67776835763
36,1,0,1.0147849157033,220.070769579513
37,0,0,1.00178273344243,1803.79759426767
38,0,0,1.01509538180567,330.508304813028
39,0,0,1.00448066067596,1168.35338903677
40,0,0,1.00383933594653,749.863481556238
41,0,0,1.01043977148284,897.833384593508
42,0,0,1.00415019004282,1222.14431090971
43,0,0,1.52847030652427,7.09136505765708
44,0,0,1.0071853439553,609.258700658949
45,0,0,1.00725865175526,1394.88175969434
46,0,0,1.00241120497825,974.71051072456
47,0,0,1.00186909763328,2675.74543415266
48,0,0,1.00204885809932,2769.87115690456
49,0,0,1.00922504662854,469.352806366466
50,0,0,1.00250880113014,1860.33674225199
51,0,0,1.0127569480607,423.657941480212
52,5,0,1.00159467576087,2525.62001151944
53,0,0,1.00279770646582,2362.60523570018
54,0,0,1.00771535818731,741.014141877718
55,0,0,1.00543836432922,1009.28237810236
56,0,0,1.00313382167837,2294.8984279255
57,0,0,1.73354043692794,6.05376087413254
58,29,0,1.71146491588605,6.14133836192687
59,0,0,1.00861740845785,600.852020435665
60,0,0,1.52883896347135,7.08183832564577
61,45,0,1.00218679722911,1924.11547703988
62,0,0,1.00424079104378,1551.43864459776
