Group,N,MeanAccuracy,SDAccuracy,MeanOptimalChoice,SDOptimalChoice
Implicit Unaware,20,65.0833333333333,3.65148371670111,55.8333333333333,3.71695970837514
Implicit Aware,32,63.8020833333333,4.20513159371144,58.5416666666667,6.42802025855897
Explicit Undirected,26,63.7019230769231,4.3864167277405,58.1570512820513,3.48642820432769
Explicit Truthful,25,66.5166666666667,4.61146668642418,60.35,6.11980127067804
Explicit Deceptive,24,63.0729166666667,5.04929280096283,51.9965277777778,5.44235709086687
