ParticipantID,exp,model_group,model_index,prior_color,accuracy,optimal_choice,NTrials,alpha,beta,lambda,delta,eta
11696534,11,Implicit Aware,1,1,64.5833333333333,66.25,240,1.9366515765075,0.64174373708,0.056504218797581,1.3253283898375,0.0227650225443598
11696594,11,Implicit Aware,2,2,65,66.6666666666667,240,2.170531789545,0.8694932537925,0.0481009289953482,1.0962502888825,0.042829103952805
11710204,11,Implicit Aware,3,1,63.75,51.25,240,5.2254031192,0.213719565243557,0.0484561164569778,0.680235427356167,-0.237658658743183
11710205,11,Implicit Aware,4,2,53.3333333333333,59.1666666666667,240,0.389881986992678,0.119175604733331,0.0642474063304107,0.540839794751775,-0.288507063466144
11710206,11,Implicit Aware,5,2,62.5,50.8333333333333,240,3.765815198625,0.580718861191375,0.2549697340275,0.683982340229996,-0.426551439188
11710209,11,Implicit Aware,6,1,64.5833333333333,61.25,240,1.542947844845,0.7149866281375,0.0273458116456594,0.9682414214075,0.0595709584620122
11710211,11,Implicit Aware,7,2,59.1666666666667,69.1666666666667,240,0.130082819453156,0.227285192373425,0.095710529997122,1.1247420092925,-0.0505682222827282
11710214,11,Implicit Aware,8,1,57.0833333333333,50.4166666666667,240,2.7192212288425,-0.401198683023497,0.20640607059865,0.40195129042349,-0.51493107200513
11710215,11,Implicit Aware,9,2,67.0833333333333,48.75,240,3.614645382575,0.0156019422254015,0.0389890630752288,0.844088131845833,-0.481057205302
11710223,11,Implicit Aware,10,2,61.6666666666667,60.8333333333333,240,1.02033850047615,0.42931549497075,0.105350229382822,0.80333601961,-0.124636865331215
11710225,11,Implicit Aware,11,2,64.5833333333333,52.0833333333333,240,2.14361285197,0.9109643175075,0.12612954935766,0.67125563710504,-0.226482981306005
11710234,11,Implicit Aware,12,2,59.5833333333333,52.9166666666667,240,0.266442569211367,0.5706213045025,0.0417125197369411,0.754531013632725,-0.373828426355032
11710244,11,Implicit Aware,13,1,65,54.1666666666667,240,5.665589503175,0.027512458404896,0.0152227691829002,0.558512530961375,-0.41092866907895
11710247,11,Implicit Aware,14,2,65.4166666666667,54.5833333333333,240,2.8433527481,0.23145286536065,0.0298625832083784,0.764918307292496,-0.20577417397892
11710250,11,Implicit Aware,15,1,70,60,240,2.984125574025,-0.0677882769623917,0.0401793342846125,0.9734916518284,-0.195950481402467
12075645,11,Implicit Aware,16,1,69.1666666666667,64.1666666666667,240,4.02467879695,-0.0378099957304225,0.106588277665795,0.99606394185025,-0.0920017609221248
12075654,11,Implicit Aware,17,1,57.0833333333333,62.9166666666667,240,0.169766444597453,0.32625465079755,0.0731094625615019,0.9645942898625,-0.14490275445349
12075666,11,Implicit Aware,18,2,60.4166666666667,57.0833333333333,240,3.61311848865,0.413594070132575,0.0363366611264324,0.90963586915035,-0.266477427721302
12075667,11,Implicit Aware,19,2,64.1666666666667,74.1666666666667,240,0.253346551158462,0.6929957064175,0.0210015044429189,1.431344830025,0.32392247629865
12075673,11,Implicit Aware,20,2,64.5833333333333,54.5833333333333,240,3.59073186045,0.33141156045071,0.102576687996258,0.925217708904034,-0.267576314046493
12075676,11,Implicit Aware,21,1,68.75,54.5833333333333,240,3.9743587323,0.525635245861,0.0635790038888389,1.217954388395,-0.0390929442770347
12075678,11,Implicit Aware,22,1,62.9166666666667,57.0833333333333,240,0.34618621724509,1.094416149675,0.109291996674653,0.779676397168,0.046037068158167
12075679,11,Implicit Aware,23,2,68.3333333333333,60,240,4.961950379925,0.0269189253480609,0.070905120387495,0.96522285878405,-0.183308617265777
12075682,11,Implicit Aware,24,1,70.4166666666667,57.9166666666667,240,2.2061619718475,1.231968058465,0.0589216559131647,0.901067432881175,-0.13462336286647
12075683,11,Implicit Aware,25,2,68.75,58.75,240,5.3526197991,0.311949866760445,0.0116905844102944,0.998061541521375,-0.147485031560282
12075685,11,Implicit Aware,26,1,61.25,72.0833333333333,240,0.18164657203742,0.3489067119255,0.066757599880964,1.32215651507,-0.0986585565160047
12075687,11,Implicit Aware,27,1,60.8333333333333,58.3333333333333,240,1.192075796245,-0.145407081887583,0.0400578050880627,1.0501261143425,-0.287335087544538
12075691,11,Implicit Aware,28,2,62.0833333333333,52.9166666666667,240,2.36989437219,0.54798080897925,0.144178001291495,0.350541807342636,0.00052954047253025
12075708,11,Implicit Aware,29,2,60.8333333333333,59.1666666666667,240,5.10555742905,0.136176773515056,0.0817532946962925,0.80883016563145,-0.0533640023610785
12075709,11,Implicit Aware,30,1,64.5833333333333,56.25,240,5.514855309675,0.132523561748033,0.0919466764546925,0.723635487546375,-0.403946136693
12075718,11,Implicit Aware,31,2,62.5,50.8333333333333,240,5.65018269535,-0.342561891184333,0.1115106811861,0.8534346950381,-0.463057171163
12076229,11,Implicit Aware,32,2,71.6666666666667,64.1666666666667,240,2.95142482175,0.8751841121125,0.0157160468089437,0.9159334677075,0.289880167693475
11696510,11,Implicit Unaware,1,1,61.6666666666667,58.3333333333333,240,0.633620651619605,0.72638106028,0.0672588862942766,0.502670648678857,-0.146996383749257
11696542,11,Implicit Unaware,2,1,64.5833333333333,50.4166666666667,240,5.4146777689,0.7438294159625,0.042007291591945,0.840354541183318,-0.155074869543566
11710202,11,Implicit Unaware,3,1,65.8333333333333,57.5,240,1.4833790383725,1.0608547504625,0.0711047556429925,1.14272165852173,-0.149014929184007
11710207,11,Implicit Unaware,4,2,64.5833333333333,58.75,240,1.548107548434,0.762697658635,0.1751001847715,0.358514168680902,-0.150522800585758
11710212,11,Implicit Unaware,5,1,65.8333333333333,56.6666666666667,240,3.182987177875,1.83309163089,0.0298570932510397,0.766362662190972,-0.14673357426182
11710217,11,Implicit Unaware,6,1,62.0833333333333,55.4166666666667,240,2.429234278505,1.4200746922475,0.16083746321475,0.490940928624939,-0.148977949482516
11710220,11,Implicit Unaware,7,1,65.8333333333333,56.6666666666667,240,5.14475930515,0.26806998211146,0.0930701301192975,0.394152793670442,-0.14689796731245
11710229,11,Implicit Unaware,8,2,62.9166666666667,56.25,240,5.053447094975,0.6857412870265,0.166116235132,0.803695309568913,-0.1590608824671
11710230,11,Implicit Unaware,9,1,63.75,53.75,240,5.069964854425,0.116286508213699,0.0816286650259625,0.476890718502247,-0.139275852987487
11710237,11,Implicit Unaware,10,1,66.6666666666667,60,240,5.6806737398,0.452086479467791,0.074852185664775,0.645083541428245,-0.152430225755735
11710286,11,Implicit Unaware,11,2,65.8333333333333,48.3333333333333,240,3.3811173622,0.361107389571575,0.090024396293753,1.18392564496126,-0.15782914778645
12075664,11,Implicit Unaware,12,2,57.5,49.1666666666667,240,0.288709630349426,0.79322982455,0.0656339216041615,1.28502878230722,-0.164347564469675
12075669,11,Implicit Unaware,13,1,67.5,60,240,4.8431002279,-0.52097462873425,0.0695674646307775,0.852908442860412,-0.137994896190737
12075672,11,Implicit Unaware,14,2,70.4166666666667,56.25,240,3.997930895975,0.647954062885,0.04855488276893,0.419113225514253,-0.150195213880175
12075674,11,Implicit Unaware,15,1,71.25,62.0833333333333,240,5.591538835125,0.165534996958215,0.0608275869628275,0.896026131730843,-0.143404775765442
12075675,11,Implicit Unaware,16,1,64.1666666666667,55,240,3.9948063985,0.40675190856835,0.1207857019024,0.374397216165853,-0.142078737166273
12075677,11,Implicit Unaware,17,2,57.5,53.3333333333333,240,0.635507625372369,0.902327954025,0.096251998566495,0.739002213632513,-0.1615764362142
12075694,11,Implicit Unaware,18,2,65.8333333333333,53.3333333333333,240,4.337752679775,0.35778156052405,0.036265990748902,0.308111910425467,-0.15104673204646
12075699,11,Implicit Unaware,19,2,67.9166666666667,60.4166666666667,240,2.800584778925,1.0865904994675,0.045045368682765,0.89079302733647,-0.130549114712911
12075712,11,Implicit Unaware,20,1,70,55,240,4.484782629025,0.86325946528,0.0192456894215405,0.781714603026134,-0.144594467430975
14064208,12,Explicit Undirected,1,1,67.0833333333333,59.5833333333333,240,4.94652793155,1.0799903489575,0.08942383142455,1.0348185841275,-0.0331929668669159
