"param","n","r","bias","mean_abs_bias","rmse","coverage_90","max_rhat","min_ess_bulk"
"alpha",5037,0.910027752302474,0.00519650263855292,0.342231384492837,0.437501915046841,0.898550724637681,1.00218678905851,4467.72329785333
"beta",5037,0.906072662448424,0.00214300920026345,0.109870464139612,0.140283938915764,0.895771292435974,1.00299187196865,1886.0865940172
"lambda",5037,0.920593607541209,0.000280754234134056,0.0249803537560746,0.0352704770234931,0.893587452848918,1.00215638950801,2842.93148044935
"delta",5037,0.6656452356602,0.0154147062392133,0.178320704644509,0.231204656242554,0.922175898352194,1.09696047562141,27.1805030709891
"eta",5037,0.835957169484002,-0.00404069940377675,0.113552792404511,0.153028427970969,0.89060948977566,1.0926541398953,27.0444704422047
