"param","n","r","bias","mean_abs_bias","rmse","coverage_90","max_rhat","min_ess_bulk"
"alpha",219,0.967918800705659,0.0184008225958027,0.163203999277881,0.205076107223664,0.904109589041096,1.00213184934689,2485.23927417873
"beta",219,0.963445016343136,0.00384001200874573,0.0489957364123273,0.0615916054115525,0.926940639269406,1.00265356028345,1789.04169977096
"lambda",219,0.968032889053813,0.00332463287556858,0.0121485851916242,0.0170518526562263,0.908675799086758,1.0030933332067,2249.23413405263
"delta",219,0.844942405380916,0.0195078705128025,0.0843481545394958,0.108353345387974,0.968036529680365,1.03068568156872,122.24804695568
"eta",219,0.903206306125708,-0.0055688243502446,0.0476783268533314,0.0603943305182764,0.926940639269406,1.02274712451226,159.388548418907
