"participant","parameter","mean","median","sd","q2.5","q97.5","rhat","ess_bulk","ess_tail","model"
1,"alpha",1.925880033725,1.9045755,0.399172857531006,1.199928,2.765097975,1.00187680434686,5031.45908192178,3407.30210358325,"log_trunc_global_eta_unaware"
1,"beta",0.66491682574,0.66266999,0.135741629081594,0.4065422285,0.9360365825,0.999909457534984,5532.54360404412,3288.91026536455,"log_trunc_global_eta_unaware"
1,"lambda",0.0565645375559838,0.050753756,0.0373196665983061,0.0037986988975,0.14675414375,1.0012078640697,4183.26385273912,2561.46637643978,"log_trunc_global_eta_unaware"
1,"delta",1.473472179,1.4400637,0.221275333505732,1.13634262,1.9301640275,1.00303520109325,2712.77739322461,2433.68887397922,"log_trunc_global_eta_unaware"
1,"eta",-0.15332422196121,-0.16223372,0.227649820283849,-0.57021649475,0.3127037195,1.00020518115519,4573.9145942385,3092.97121529053,"log_trunc_global_eta_unaware"
2,"alpha",2.229698305565,2.20283705,0.493828787069446,1.331952965,3.257328755,1.00072154780701,5448.01803111965,3156.47476273812,"log_trunc_global_eta_unaware"
2,"beta",0.886367857105,0.87921065,0.173915596372136,0.56503536675,1.2513422375,1.00075841616196,5616.99286886875,3079.1220727752,"log_trunc_global_eta_unaware"
2,"lambda",0.0498692267181918,0.046946323,0.0278646575093381,0.004521267195,0.1093495695,1.00047607114124,4176.02066796958,2215.43141075734,"log_trunc_global_eta_unaware"
2,"delta",1.25934467633875,1.2212281,0.316084435225359,0.81159507425,1.9230127825,1.00219033107172,1763.53416798235,2407.56488359582,"log_trunc_global_eta_unaware"
2,"eta",0.727969419982735,0.70729606,0.495664777625498,-0.20814334325,1.7654456025,1.00105163081637,4028.87537039085,3342.41372600298,"log_trunc_global_eta_unaware"
3,"alpha",5.422418337975,5.55772885,0.522443293400104,4.21530033,5.99951241,0.99989699955943,3614.85246068005,2361.35334204284,"log_trunc_global_eta_unaware"
3,"beta",0.23152442121488,0.229466065,0.141213005261218,-0.041601897225,0.50040240575,0.999711057195635,5930.33487542885,3296.99139473815,"log_trunc_global_eta_unaware"
3,"lambda",0.0475962430828925,0.0460287825,0.0224751548886675,0.0082593469825,0.0951880515,1.0002354539318,4857.86017120281,2408.43573316282,"log_trunc_global_eta_unaware"
3,"delta",0.351040428668449,0.30770351,0.234737790713434,0.02293576255,0.921398235,1.00094019181791,2262.98548195138,2565.30760095961,"log_trunc_global_eta_unaware"
3,"eta",-0.431671708901218,-0.423101725,0.442567049940432,-1.32634015,0.40494327425,0.999773149911776,4588.293984712,2788.20761502207,"log_trunc_global_eta_unaware"
4,"alpha",0.387637913523421,0.36842569,0.269850396192786,0.00111241579,0.9671918665,1.00279904330566,3136.88849452272,1974.92053412004,"log_trunc_global_eta_unaware"
