"variable","mean","median","sd","q2.5","q97.5","rhat","ess_bulk","ess_tail","model"
"mu_alpha",3.7914631218,3.8171157,0.667317299717992,2.42797624,5.0450541925,1.00084841396243,674.121920530598,1369.34496086288,"log_trunc_global_eta_unaware"
"mu_beta",0.6686375026625,0.668909955,0.137974322758915,0.3948080045,0.93904529725,1.00919254949387,619.235924712513,1041.15660897421,"log_trunc_global_eta_unaware"
"mu_lambda",0.06997547869225,0.069367305,0.0157370689809795,0.040064121975,0.10242401975,1.00129421506913,1475.00202233541,1896.61579163992,"log_trunc_global_eta_unaware"
"mu_delta",0.8068964479485,0.81728307,0.161791248836878,0.46231327275,1.09803306,1.00978432055602,653.7214798873,1449.86435314433,"log_trunc_global_eta_unaware"
"mu_eta",-0.380838849696865,-0.376271565,0.161825172878971,-0.705684805,-0.08125166755,1.0017796069222,1881.35441825156,2346.64864600765,"log_trunc_global_eta_unaware"
