"variable","mean","median","sd","q2.5","q97.5","rhat","ess_bulk","ess_tail","model"
"mu_alpha",2.9963089712625,2.99330475,0.671760059120082,1.6926073525,4.34747722,1.00193541416079,803.832792716031,1348.21815780807,"log_trunc_global_eta_unaware"
"mu_beta",0.5640504877505,0.56514387,0.135241123717224,0.296781412,0.834192133,1.00583016355943,778.280654289333,1324.40911203455,"log_trunc_global_eta_unaware"
"mu_lambda",0.080279038562,0.0792856915,0.0168503315776505,0.049526102725,0.11629416975,1.0033346512149,1549.42815884928,2038.43731336809,"log_trunc_global_eta_unaware"
"mu_delta",0.9714783115175,0.97504925,0.0826816105422844,0.7917708055,1.128415605,1.00303844168926,1706.14696693934,2171.12484105819,"log_trunc_global_eta_unaware"
"mu_eta",-0.31405183294708,-0.31183473,0.161780068192018,-0.6354410665,0.00133396138750003,0.999751188666741,2496.65616508713,2641.52892177679,"log_trunc_global_eta_unaware"
