"variable","mean","median","sd","q2.5","q97.5","rhat","ess_bulk","ess_tail","model"
"mu_alpha",4.19751666035,4.2100538,0.582523855240971,3.040503965,5.3000891975,1.00151930299779,1303.85259054701,2078.34611388555,"log_trunc_global_eta_unaware"
"mu_beta",0.38388498758225,0.384252045,0.102145642863506,0.184771541,0.581148268,1.00173307223062,900.436921774412,1578.90876777431,"log_trunc_global_eta_unaware"
"mu_lambda",0.0447813232684,0.044557604,0.0129602073997992,0.020449991925,0.071145172675,1.00123750454632,2025.80633126927,2004.38192166582,"log_trunc_global_eta_unaware"
"mu_delta",1.10574712216,1.10184445,0.0761278899596753,0.967536195,1.267302135,1.01473306756809,364.589327207976,541.014153112675,"log_trunc_global_eta_unaware"
"mu_eta",0.113350516178171,0.10912959,0.257376366308025,-0.371136033,0.63688383,1.00304306152927,1565.24261719466,2326.13544146224,"log_trunc_global_eta_unaware"
