"variable","mean","median","sd","q2.5","q97.5","rhat","ess_bulk","ess_tail","model"
"mu_alpha",2.763665585325,2.73779425,0.612960928676837,1.6648838125,4.0406974775,1.01054092162808,558.095459835031,417.121369137433,"log_trunc_global_eta_unaware"
"mu_beta",0.6869070593475,0.68467649,0.152417267353008,0.389587661,0.98456292325,1.0128456308132,503.861261762813,1307.98795779699,"log_trunc_global_eta_unaware"
"mu_lambda",0.0719045666042,0.0656553185,0.039218937900525,0.01416455005,0.16538581125,1.00337803734668,860.204168225823,1238.25392804014,"log_trunc_global_eta_unaware"
"mu_delta",0.92866068258,0.930802415,0.244682690715566,0.42744466925,1.39079941,1.0035688132911,892.915170411362,1539.37395527844,"log_trunc_global_eta_unaware"
"mu_eta",-0.9456165636259,-0.938986855,0.250053099709646,-1.46249405,-0.47857700925,1.0046751763053,1184.62131113052,1690.76961405383,"log_trunc_global_eta_unaware"
